Ticker,CurrentPrice,PriceWhenAdded,DateAdded,DayPercent,FiveDayPercent,TenDayPercent,MonthPercent,ThreeMonthPercent,YearPercent
NEW,0,1.48,04/19/22,-2.03,-12.16,-8.11,,,
RAD,6.58,7.40,04/19/22,6.22,-11.49,-10.68,,,
NEW,0,1.45,04/20/22,4.83,-10.34,-6.21,,,
RAD,6.58,7.86,04/20/22,-2.54,-17.30,-13.61,,,
NEW,0,1.52,04/21/22,-3.95,-15.79,-10.53,,,
RAD,6.58,7.66,04/21/22,-3.13,-13.58,-13.84,,,
NEW,0,1.50,04/22/22,-5.33,-18.67,-9.33,,,
RAD,6.58,7.59,04/22/22,-6.72,-16.07,-11.46,,,
NEW,0,1.46,04/23/22,-2.74,-16.44,-6.85,,,
RAD,6.58,7.42,04/23/22,-4.58,-14.15,-9.43,,,
NEW,0,1.42,04/25/22,-8.45,-11.27,-4.23,,,
RAD,6.58,7.08,04/25/22,-7.49,-9.32,-14.55,,,
NEW,0,1.30,04/26/22,0,4.62,4.62,-100,,
RAD,6.58,6.55,04/26/22,-0.76,0.92,-13.28,-1.83,,
RAD,6.58,6.55,04/27/22,1.07,3.66,-15.88,0.46,,
VRM,1.30,1.67,04/27/22,-2.99,-8.98,-17.96,-22.16,,
RAD,6.58,6.38,04/28/22,-0.16,3.45,-15.67,,,
VRM,1.30,1.49,04/28/22,4.70,-4.03,-4.70,,,
RAD,6.58,6.52,04/29/22,-1.53,3.07,-11.04,,,
VRM,1.30,1.67,04/29/22,-2.99,-17.37,2.99,,,
CONN,10.34,15.65,05/01/22,0.19,-0.38,-6.13,,,
VRM,1.30,1.56,05/01/22,3.85,-11.54,10.26,,,
CONN,10.34,15.68,05/02/22,-0.19,-3.70,-7.46,,,
VRM,1.30,1.62,05/02/22,-3.09,-33.33,0.62,,,
CONN,10.34,15.65,05/03/22,0.83,-7.09,-6.52,,,
VRM,1.30,1.57,05/03/22,-3.18,-19.75,-3.82,,,
CONN,10.34,15.78,05/04/22,1.20,-9.38,-16.03,,,
VRM,1.30,1.52,05/04/22,-5.92,-9.87,-9.21,,,
CONN,10.34,15.97,05/05/22,-2.38,-10.08,,,,
VRM,1.30,1.43,05/05/22,-3.50,-0.70,,,,
CONN,10.34,15.59,05/06/22,-3.14,-5.77,,,,
VRM,1.30,1.38,05/06/22,-21.74,24.64,,,,
CONN,10.34,15.37,05/09/22,-5.40,-5.60,,,,
ARVL,1.75,1.68,05/09/22,-8.93,12.50,,,,
APRN,2.78,3.39,05/09/22,-1.47,12.68,,,,
VRM,1.30,1.17,05/09/22,7.69,39.32,,,,
DMTK,6.59,6.74,05/09/22,0.15,13.35,,,,
CONN,10.34,14.54,05/10/22,-1.65,0.62,,,,
ARVL,1.75,1.53,05/10/22,2.61,24.84,,,,
APRN,2.78,3.34,05/10/22,3.59,9.58,,,,
DMTK,6.59,6.75,05/10/22,0.74,6.96,,,,
VRM,1.30,1.26,05/10/22,8.73,19.84,,,,
CONN,10.34,14.30,05/11/22,0.42,-7.34,,,,
NEW,0,1.36,05/11/22,0,-100,,,,
VRM,1.30,1.37,05/11/22,3.65,0.73,,,,
DAC,75.71,80.79,05/11/22,-4.25,-7.24,,,,
HYMC,1.36,1.15,05/12/22,13.91,,,,,
CMPS,9.79,6.82,05/12/22,12.46,,,,,
CONN,10.34,13.97,05/12/22,5.15,,,,,
NEW,0,1.36,05/12/22,0,,,,,
VRM,1.30,1.42,05/12/22,21.13,,,,,
DMTK,6.59,7.22,05/12/22,9.97,,,,,
DAC,75.71,75.06,05/12/22,8.39,,,,,
HYMC,1.36,1.28,05/13/22,3.91,,,,,
CONN,10.34,14.64,05/13/22,-0.89,,,,,
NEW,0,1.36,05/13/22,-100,,,,,
VRM,1.30,1.68,05/13/22,-2.98,,,,,
DAC,75.71,80.35,05/13/22,0.70,,,,,
CONN,10.34,14.51,05/16/22,0.83,,,,,
VRM,1.30,1.63,05/16/22,-7.36,,,,,
DAC,75.71,80.91,05/16/22,-0.56,,,,,
CONN,10.34,14.63,05/17/22,-9.43,,,,,
VRM,1.30,1.51,05/17/22,-8.61,,,,,
DAC,75.71,80.46,05/17/22,-6.86,,,,,
CONN,10.34,13.25,05/18/22,,,,,,
VRM,1.30,1.38,05/18/22,,,,,,
DAC,75.71,74.94,05/18/22,,,,,,
PTE,2.28,2.29,06/07/22,-0.44,,,,,
BGFV,11.85,12.15,06/07/22,-2.47,,,,,
CONN,10.34,10.56,06/07/22,-2.08,,,,,
DAC,75.71,82.08,06/07/22,-7.76,,,,,
VRM,1.30,1.29,06/07/22,0.78,,,,,
PTE,2.28,2.28,06/08/22,,,,,,
BGFV,11.85,11.85,06/08/22,,,,,,
CONN,10.34,10.34,06/08/22,,,,,,
DAC,75.71,75.71,06/08/22,,,,,,
VRM,1.30,1.30,06/08/22,,,,,,
