Ticker,CurrentPrice,PriceWhenAdded,DateAdded,DayPercent,FiveDayPercent,TenDayPercent,MonthPercent,ThreeMonthPercent,YearPercent
MAPS,5.67,6.36,04/20/22,-4.25,-12.74,-8.33,,,
PARA,30.85,33.42,04/20/22,-2.30,-13.44,-11.91,,,
SNBR,41.22,46.80,04/21/22,-4.59,-8.55,-7.67,,,
ANTE,1.32,1.43,04/23/22,3.50,-16.08,-21.68,,,
CAAS,2.94,2.65,04/23/22,-1.89,8.68,9.43,,,
CTRN,27.43,28.03,04/23/22,0.71,-0.21,3.75,,,
HDSN,10.43,6.27,04/23/22,-0.32,7.02,50.24,,,
PLCE,46.69,48.53,04/23/22,-0.04,-4.53,-1.59,,,
URBN,22.17,23.67,04/23/22,1.69,0.55,-1.06,,,
WSBF,16.90,17.06,04/23/22,-4.40,-5.86,-4.98,,,
CTRM,1.88,2.03,04/25/22,-1.48,-3.94,-13.30,,,
EGLE,68.46,56.25,04/25/22,7.61,8.60,4.75,,,
GOGL,14.67,11.35,04/25/22,4.76,9.16,10.93,,,
SBLK,28.58,26.27,04/25/22,4.53,7.46,4.95,,,
SCHN,41.79,47.53,04/25/22,-0.13,-5.87,-20.53,,,
ZEUS,36.03,35.83,04/25/22,2.62,-3.94,-14.49,,,
ANTE,1.32,1.31,04/26/22,-2.29,-9.92,-8.40,-1.53,,
MNTS,3.47,2.76,04/26/22,0,3.99,-7.61,29.71,,
ZION,56.58,56.22,04/26/22,-0.37,2.74,-4.66,2.08,,
CTRM,1.88,1.81,04/27/22,7.18,11.60,8.29,3.87,,
FLWS,10.09,9.83,04/28/22,3.76,16.89,6.21,,,
VIRT,23.75,29.33,04/28/22,-1.53,-2.25,-11.49,,,
RILY,53.25,46.10,04/29/22,3.34,8.79,4.82,,,
BELFB,16.50,16.31,05/01/22,0.61,4.29,1.16,,,
BTBT,1.65,2.03,05/01/22,4.93,-2.96,-15.27,,,
CINF,127.19,122.66,05/01/22,-1.72,2.22,2.91,,,
COIN,70.54,112.71,05/01/22,6.89,-6.37,-39.78,,,
FLIC,18.74,16.78,05/01/22,1.91,6.44,8.46,,,
HIVE,3.97,1.46,05/01/22,2.74,-3.42,-36.30,,,
MNTS,3.47,2.80,05/01/22,1.43,2.86,4.64,,,
NMRK,10.24,12.15,05/01/22,-3.13,0.91,-6.58,,,
RILY,53.25,45.16,05/01/22,5.49,11.05,7.00,,,
CCRN,18.39,17.22,05/02/22,-0.12,-1.92,-6.04,,,
VEON,0.51,0.63,05/02/22,-1.59,-22.22,-23.81,,,
BGFV,11.90,14.59,05/04/22,0.62,-8.36,-16.52,,,
GDEN,49.28,45.11,05/04/22,1.82,-3.06,-4.61,,,
AVIR,8.22,5.62,05/05/22,-0.53,14.41,,,,
BTBT,1.65,2.00,05/05/22,-1.50,-20.0,,,,
CAN,3.93,3.57,05/05/22,7.84,-19.89,,,,
CCRN,18.39,17.71,05/05/22,-2.71,-10.56,,,,
COIN,70.54,114.25,05/05/22,-7.63,-48.80,,,,
CROX,58.28,65.63,05/05/22,-4.05,-14.60,,,,
EMKR,3.57,3.08,05/05/22,3.57,3.25,,,,
