Ticker,CurrentPrice,PriceWhenAdded,DateAdded,DayPercent,FiveDayPercent,TenDayPercent,MonthPercent,ThreeMonthPercent,YearPercent
UPST,32.27,32.27,08/08/22,,,,,,
RCL,40.23,40.23,08/08/22,,,,,,
CCL,10.01,10.01,08/08/22,,,,,,
WTI,5.37,5.37,08/08/22,,,,,,
HBM,4.00,4.00,08/08/22,,,,,,
TECK,30.92,30.92,08/08/22,,,,,,
REI,2.87,2.87,08/08/22,,,,,,
VTRS,10.09,10.09,08/08/22,,,,,,
PARA,25.21,25.21,08/08/22,,,,,,
ASX,6.06,6.06,08/08/22,,,,,,
EGO,6.33,6.33,08/08/22,,,,,,
LESL,16.19,16.19,08/08/22,,,,,,
ACI,27.80,27.80,08/08/22,,,,,,
GOLD,16.20,16.20,08/08/22,,,,,,
EXPE,105.38,105.38,08/08/22,,,,,,
ALLY,33.47,33.47,08/08/22,,,,,,
CDEV,6.54,6.54,08/08/22,,,,,,
DD,59.33,59.33,08/08/22,,,,,,
SBLK,25.74,25.74,08/08/22,,,,,,
CRK,14.84,14.84,08/08/22,,,,,,
