Ticker,CurrentPrice,PriceWhenAdded,DateAdded,DayPercent,FiveDayPercent,TenDayPercent,MonthPercent,ThreeMonthPercent,YearPercent
PTPI,0.88,1.33,04/19/22,10.53,-6.77,-11.28,,,
ENVB,0.21,0.32,04/19/22,0,-18.75,-18.75,,,
PRTY,1.23,3.86,04/19/22,1.55,-14.25,-16.58,,,
WYNN,63.38,77.80,04/19/22,0.53,-11.79,-8.69,,,
MS,81.19,88.91,04/19/22,2.50,-6.28,-4.84,,,
ALLY,39.59,44.81,04/19/22,-0.04,-8.21,-7.12,,,
HAS,91.03,87.84,04/19/22,-0.44,0.51,4.74,,,
YANG,17.87,17.29,04/19/22,6.82,23.54,-5.38,,,
PRTS,7.01,7.28,04/19/22,-5.36,-15.38,-6.73,,,
ZTO,25.13,25.71,04/19/22,-2.99,-6.26,7.55,,,
ENDP,0.95,2.61,04/20/22,-5.75,-18.01,-21.84,,,
CFG,38.03,45.12,04/20/22,-3.12,-11.99,-10.84,,,
ALLY,39.59,44.79,04/20/22,-3.06,-10.23,-6.36,,,
YANG,17.87,18.47,04/20/22,8.88,7.58,-8.12,,,
KEY,18.58,22.04,04/20/22,-3.04,-9.89,-10.48,,,
ITB,56.65,60.19,04/20/22,-1.10,-4.34,-1.76,,,
HBAN,13.20,14.40,04/20/22,0.76,-6.25,-6.25,,,
CRH,39.27,42.67,04/20/22,-0.80,-6.75,-5.69,,,
TTE,55.05,51.08,04/20/22,-0.02,-5.62,1.55,,,
VOD,14.90,17.02,04/20/22,-0.18,-5.82,-8.23,,,
TTD,51.80,69.02,04/20/22,-3.82,-17.37,-16.81,,,
AXTA,25.84,25.44,04/20/22,0.55,3.07,5.03,,,
SQQQ,55.29,39.51,04/20/22,0.84,22.65,21.21,,,
JBLU,10.04,13.69,04/21/22,-5.99,-16.65,-19.94,,,
HBAN,13.20,14.51,04/21/22,-5.17,-6.41,-6.20,,,
KNX,43.97,48.79,04/21/22,-1.97,0.80,2.93,,,
RF,20.03,21.91,04/21/22,-2.46,-2.60,-2.10,,,
SH,15.89,14.31,04/21/22,4.19,3.49,6.71,,,
DUST,17.52,11.90,04/21/22,6.39,14.87,19.33,,,
SQQQ,55.29,39.84,04/21/22,13.30,8.81,20.36,,,
YANG,17.87,19.21,04/22/22,7.86,-11.97,2.81,,,
DUST,17.52,12.64,04/22/22,9.89,10.60,14.16,,,
ERY,4.32,5.18,04/22/22,13.32,3.86,-12.16,,,
UVXY,15.98,14.20,04/22/22,14.01,28.66,29.51,,,
VIXY,19.16,17.33,04/22/22,9.46,19.04,20.83,,,
SDOW,34.84,29.25,04/22/22,5.91,10.05,11.49,,,
YANG,17.87,19.97,04/23/22,3.76,-15.32,-1.10,,,
DUST,17.52,12.66,04/23/22,9.72,10.43,13.98,,,
UVXY,15.98,15.39,04/23/22,5.20,18.71,19.49,,,
DRIP,21.20,23.96,04/23/22,9.93,1.13,-11.69,,,
ERY,4.32,5.27,04/23/22,11.39,2.09,-13.66,,,
WDC,59.27,49.46,04/23/22,0.53,7.30,20.68,,,
PPG,121.08,132.85,04/23/22,-3.78,-3.66,-3.80,,,
HR,28.19,27.93,04/23/22,-1.04,-3.04,10.85,,,
DRIP,21.20,26.34,04/25/22,-8.12,-5.20,-5.69,,,
WTI,5.72,4.53,04/25/22,5.74,0.44,8.83,,,
SCO,4.80,5.76,04/25/22,-7.12,-10.42,-9.72,,,
ERY,4.32,5.41,04/26/22,0.92,-8.69,-5.36,,,
UL,44.85,45.93,04/26/22,-2.37,-0.37,-1.09,,,
WHR,173.62,186.54,04/26/22,-1.89,2.51,0.25,,,
GLW,34.22,36.03,04/26/22,0.11,0.69,-1.64,,,
YANG,17.87,20.06,04/27/22,-3.84,-15.40,1.15,,,
DRIP,21.20,24.54,04/27/22,-6.23,-10.68,-8.60,,,
ERY,4.32,5.43,04/27/22,-5.89,-11.60,-14.55,,,
GLW,34.22,35.60,04/27/22,2.25,1.60,0.08,,,
JD,51.49,57.27,04/27/22,0.94,6.34,-11.26,,,
PAVM,1.00,1.27,04/27/22,-7.09,-1.57,-3.15,,,
ZTO,25.13,25.93,04/27/22,3.66,5.48,-1.35,,,
FBHS,67.09,73.21,04/27/22,3.87,-0.18,-6.02,,,
EVOK,0.29,0.50,04/28/22,-6.00,-6.00,-50.0,,,
DRIP,21.20,24.22,04/28/22,0.04,-12.84,1.07,,,
ERY,4.32,5.32,04/28/22,1.13,-12.97,-9.40,,,
YANG,17.87,20.24,04/28/22,-16.45,-9.93,5.48,,,
UL,44.85,45.85,04/28/22,0.89,-2.25,-1.44,,,
LC,13.44,15.27,04/28/22,-0.13,0.98,-13.82,,,
QCOM,132.67,143.67,04/28/22,-2.77,-1.41,-8.28,,,
STAB,0.26,0.46,04/28/22,-28.26,-32.61,-50.0,,,
AFIB,0.89,1.20,04/28/22,6.67,-12.50,-21.67,,,
PAVM,1.00,1.18,04/28/22,7.63,19.49,-8.47,,,
UPWK,16.65,21.63,04/28/22,-3.05,-5.50,-23.49,,,
SDOW,34.84,29.67,04/28/22,8.49,7.01,19.89,,,
GLW,34.22,36.40,04/28/22,-3.32,0.36,-3.27,,,
FBHS,67.09,76.04,04/28/22,-6.30,-4.02,-9.69,,,
ASX,6.53,6.94,04/28/22,-7.20,-5.33,-8.79,,,
APH,69.10,73.55,04/28/22,-2.79,-3.25,-6.69,,,
NXPI,180.27,177.25,04/28/22,-3.58,0.63,-2.03,,,
ESI,20.28,21.30,04/28/22,-3.19,-0.70,-7.04,,,
KBH,32.35,34.16,04/28/22,-5.06,-0.56,-4.10,,,
OTIS,73.41,76.07,04/28/22,-4.25,-1.83,-4.04,,,
ITB,56.65,59.66,04/28/22,-3.20,-0.39,-4.17,,,
TER,105.58,111.68,04/28/22,-5.57,-2.84,-8.79,,,
STIP,103.60,104.65,04/28/22,-0.39,-1.40,-1.50,,,
STAB,0.26,0.31,04/29/22,-9.68,-6.45,-19.35,,,
AFIB,0.89,1.16,04/29/22,8.62,-7.76,-24.14,,,
BEKE,12.60,14.46,04/29/22,-1.04,-15.01,-13.35,,,
CWEB,5.18,6.03,04/29/22,-1.99,-18.24,-15.75,,,
KWEB,26.92,28.74,04/29/22,-1.04,-9.32,-7.41,,,
BABA,88.76,100.19,04/29/22,-0.69,-9.48,-13.05,,,
BILI,20.91,25.18,04/29/22,-5.92,-16.20,-18.86,,,
DRIP,21.20,23.29,04/29/22,7.21,-9.15,-5.84,,,
MOMO,5.11,5.35,04/29/22,-2.24,-2.06,-5.61,,,
FXI,29.88,31.26,04/29/22,-1.54,-6.65,-5.34,,,
ERY,4.32,5.22,04/29/22,1.92,-12.84,-14.37,,,
VTIP,50.69,50.84,04/29/22,-0.69,-0.57,-0.61,,,
TIP,118.86,121.89,04/29/22,-2.54,-2.81,-2.82,,,
SCHP,58.13,59.54,04/29/22,-2.30,-2.65,-2.69,,,
SPIP,28.78,29.57,04/29/22,-2.67,-3.01,-2.98,,,
LU,5.98,5.68,04/29/22,-1.23,-9.86,-1.58,,,
TPH,20.33,21.02,04/29/22,-1.90,-0.86,-1.67,,,
AVTR,30.59,32.40,04/29/22,-2.50,-5.43,-4.81,,,
TCRT,0.49,0.54,04/29/22,-9.26,16.67,11.11,,,
AFIB,0.89,1.28,05/01/22,-1.56,-16.41,-31.25,,,
STAB,0.26,0.33,05/01/22,-15.15,-12.12,-24.24,,,
DWAC,44.79,52.39,05/01/22,-7.48,-12.16,-20.14,,,
ZYME,5.43,6.11,05/01/22,11.62,-0.82,-11.78,,,
CWEB,5.18,5.82,05/01/22,1.55,-15.29,-12.71,,,
PDD,39.48,43.09,05/01/22,1.11,-11.42,-13.55,,,
PAVM,1.00,1.27,05/01/22,0.79,4.72,-13.39,,,
MOMO,5.11,5.32,05/01/22,-1.69,-1.50,-5.08,,,
BEKE,12.60,14.18,05/01/22,0.92,-13.33,-11.64,,,
EVOK,0.29,0.47,05/01/22,2.13,-4.26,-42.55,,,
LC,13.44,15.25,05/01/22,1.38,-2.95,-5.25,,,
KWEB,26.92,28.27,05/01/22,0.60,-7.82,-5.87,,,
TCRT,0.49,0.53,05/01/22,-7.55,18.87,13.21,,,
RWT,9.63,9.70,05/01/22,0.41,3.51,2.37,,,
TPH,20.33,20.67,05/01/22,-0.24,0.82,0,,,
AVTR,30.59,31.88,05/01/22,-0.91,-3.89,-3.26,,,
GLW,34.22,35.19,05/01/22,0.45,3.69,1.31,,,
MAS,54.64,52.69,05/01/22,-0.04,-0.27,5.56,,,
YUMC,40.39,41.80,05/01/22,-2.42,-3.11,-5.98,,,
ERY,4.32,5.38,05/01/22,-1.12,-15.43,-16.91,,,
AFIB,0.89,1.26,05/02/22,-11.11,-26.98,-29.37,,,
STAB,0.26,0.28,05/02/22,3.57,-10.71,-14.29,,,
DWAC,44.79,48.35,05/02/22,-3.56,-12.26,-6.51,,,
CWEB,5.18,5.91,05/02/22,2.03,-29.27,-14.55,,,
MOMO,5.11,5.24,05/02/22,-0.76,-8.40,-4.39,,,
EVOK,0.29,0.48,05/02/22,-12.50,-22.92,-37.50,,,
BABA,88.76,99.50,05/02/22,0.61,-14.73,-12.57,,,
TPH,20.33,20.66,05/02/22,1.45,0.44,-1.26,,,
SOS,0.39,0.55,05/02/22,-5.45,-27.27,-29.09,,,
ERY,4.32,5.33,05/02/22,-7.32,-4.50,-19.32,,,
DRIP,21.20,25.01,05/02/22,-11.88,-0.68,-15.91,,,
LVS,33.54,36.77,05/02/22,-1.22,-13.35,-7.37,,,
APRN,3.32,4.11,05/02/22,13.14,-18.25,-7.06,,,
BTTX,1.61,2.12,05/03/22,-1.42,-3.30,-24.06,,,
SOS,0.39,0.52,05/03/22,-7.69,-23.08,-23.08,,,
CWEB,5.18,6.03,05/03/22,-5.47,-28.36,-10.78,,,
PAVM,1.00,1.32,05/03/22,-5.30,4.55,-18.94,,,
ZIM,60.12,62.75,05/03/22,0.54,-3.89,6.45,,,
NVAX,51.68,56.97,05/03/22,2.28,-9.95,-10.81,,,
KKR,51.63,55.65,05/03/22,-0.93,-9.56,-6.59,,,
XHB,59.32,63.25,05/03/22,-1.53,-5.49,-2.17,,,
ITB,56.65,59.33,05/03/22,-0.34,-3.66,-0.37,,,
UL,44.85,45.76,05/03/22,-0.81,-0.72,0.17,,,
PHM,41.94,43.45,05/03/22,-0.67,-3.87,1.68,,,
OHI,30.28,28.34,05/03/22,0.07,-4.45,5.58,,,
BTTX,1.61,2.09,05/04/22,11.96,-3.83,-22.97,,,
SOS,0.39,0.48,05/04/22,-2.08,-16.67,-18.75,,,
TCRT,0.49,0.65,05/04/22,-3.08,-7.69,-24.62,,,
SESN,0.49,0.50,05/04/22,16.00,-12.00,-2.00,,,
NVAX,51.68,58.27,05/04/22,0.67,-21.21,-11.31,,,
ARRY,8.74,8.66,05/04/22,5.77,-20.44,0.92,,,
PINS,21.98,22.76,05/04/22,-0.57,-11.86,-3.43,,,
UPST,47.30,90.01,05/04/22,-1.08,-67.71,-47.45,,,
KKR,51.63,55.13,05/04/22,0.42,-6.20,-6.35,,,
BCS,7.79,7.71,05/04/22,-1.69,-4.54,1.04,,,
