Ticker,CurrentPrice,PriceWhenAdded,DateAdded,DayPercent,FiveDayPercent,TenDayPercent,MonthPercent,ThreeMonthPercent,YearPercent
MANH,133.26,141.53,04/19/22,1.14,,,,,
EPAM,276.84,297.98,04/19/22,-1.55,,,,,
ASGN,114.79,120.19,04/19/22,2.03,,,,,
MPC,82.91,90.44,04/19/22,0.66,,,,,
WETF,6.07,6.29,04/19/22,-0.32,,,,,
PH,271.28,282.95,04/19/22,2.69,,,,,
MYE,21.19,21.81,04/19/22,3.30,,,,,
EOG,109.10,121.76,04/19/22,0.16,,,,,
TSQ,11.43,12.40,04/19/22,-1.85,,,,,
MANH,133.26,143.14,04/20/22,-1.01,,,,,
EPAM,276.84,293.36,04/20/22,-1.87,,,,,
ASGN,114.79,122.63,04/20/22,-0.10,,,,,
MPC,82.91,91.04,04/20/22,0.51,,,,,
WETF,6.07,6.27,04/20/22,0.32,,,,,
PH,271.28,290.55,04/20/22,-0.74,,,,,
MYE,21.19,22.53,04/20/22,0.36,,,,,
EOG,109.10,121.95,04/20/22,0.46,,,,,
MANH,133.26,141.70,04/21/22,-6.82,,,,,
CYBE,41.88,41.10,04/21/22,0.92,,,,,
ASGN,114.79,122.51,04/21/22,-5.09,,,,,
MPC,82.91,91.50,04/21/22,-4.83,,,,,
WETF,6.07,6.29,04/21/22,-1.91,,,,,
PH,271.28,288.39,04/21/22,-3.93,,,,,
AYI,172.06,182.08,04/21/22,-4.31,,,,,
MYE,21.19,22.61,04/21/22,-5.26,,,,,
EOG,109.10,122.51,04/21/22,-5.22,,,,,
ASGN,114.79,117.62,04/22/22,-2.41,,,,,
MPC,82.91,87.82,04/22/22,-5.59,,,,,
WETF,6.07,6.20,04/22/22,-2.10,,,,,
PH,271.28,282.17,04/22/22,-3.86,,,,,
MYE,21.19,21.83,04/22/22,-2.93,,,,,
ASGN,114.79,116.27,04/23/22,-1.27,,,,,
MPC,82.91,87.08,04/23/22,-4.79,,,,,
WETF,6.07,6.17,04/23/22,-1.62,,,,,
MYE,21.19,21.42,04/23/22,-1.07,,,,,
WETF,6.07,6.07,04/25/22,,,,,,
AVNT,50.67,50.67,04/25/22,,,,,,
