Ticker,CurrentPrice,PriceWhenAdded,DateAdded,DayPercent,FiveDayPercent,TenDayPercent,MonthPercent,ThreeMonthPercent,YearPercent
ADMA,1.97,2.05,04/19/22,0.49,,,,,
ANDE,50.94,56.26,04/19/22,1.62,,,,,
ANET,115.47,128.84,04/19/22,-0.90,,,,,
ASXC,0.51,0.52,04/19/22,1.92,,,,,
AUMN,0.40,0.51,04/19/22,0,,,,,
BLDR,62.90,63.63,04/19/22,2.14,,,,,
BX,109.66,117.48,04/19/22,2.04,,,,,
CCS,50.85,53.20,04/19/22,0.92,,,,,
CG,39.86,43.95,04/19/22,2.03,,,,,
CLAR,20.56,22.51,04/19/22,0.22,,,,,
CLR,54.92,64.12,04/19/22,0.28,,,,,
CNR,24.39,24.39,04/19/22,0.08,,,,,
CPE,51.34,60.42,04/19/22,2.23,,,,,
CTRA,27.24,30.47,04/19/22,-0.33,,,,,
DLPN,4.01,3.81,04/19/22,-3.67,,,,,
DQ,40.78,46.74,04/19/22,-4.32,,,,,
EGY,6.20,7.90,04/19/22,-3.67,,,,,
EOG,109.10,121.76,04/19/22,0.16,,,,,
EPAM,276.84,297.98,04/19/22,-1.55,,,,,
EPRT,25.23,26.32,04/19/22,0.72,,,,,
ADMA,1.97,2.06,04/20/22,1.46,,,,,
ANET,115.47,127.68,04/20/22,-2.93,,,,,
ASXC,0.51,0.53,04/20/22,-1.89,,,,,
BLDR,62.90,64.99,04/20/22,-1.32,,,,,
BX,109.66,119.88,04/20/22,-4.78,,,,,
CG,39.86,44.84,04/20/22,-6.24,,,,,
CLR,54.92,64.30,04/20/22,1.26,,,,,
CNR,24.39,24.41,04/20/22,-0.04,,,,,
CPE,51.34,61.77,04/20/22,3.76,,,,,
CTRA,27.24,30.37,04/20/22,1.25,,,,,
DQ,40.78,44.72,04/20/22,-12.10,,,,,
EGY,6.20,7.61,04/20/22,-1.84,,,,,
EOG,109.10,121.95,04/20/22,0.46,,,,,
EXEL,22.44,22.72,04/20/22,-0.09,,,,,
EXPD,99.17,99.66,04/20/22,0.13,,,,,
EXPI,15.41,16.37,04/20/22,-4.40,,,,,
FANG,121.73,139.55,04/20/22,2.22,,,,,
FTCH,12.29,13.12,04/20/22,-4.34,,,,,
FTNT,319.38,338.33,04/20/22,-1.69,,,,,
GNCA,0.38,0.45,04/20/22,2.22,,,,,
ADMA,1.97,2.09,04/21/22,-4.78,,,,,
ANET,115.47,123.94,04/21/22,-5.03,,,,,
ASXC,0.51,0.52,04/21/22,-3.85,,,,,
AUMN,0.40,0.49,04/21/22,-8.16,,,,,
BLDR,62.90,64.13,04/21/22,-4.24,,,,,
BX,109.66,114.15,04/21/22,-3.12,,,,,
CG,39.86,42.04,04/21/22,-5.26,,,,,
CLR,54.92,65.11,04/21/22,-9.69,,,,,
CNR,24.39,24.40,04/21/22,-0.04,,,,,
CPE,51.34,64.09,04/21/22,-13.11,,,,,
CTRA,27.24,30.75,04/21/22,-5.82,,,,,
DQ,40.78,39.31,04/21/22,5.01,,,,,
EGY,6.20,7.47,04/21/22,-9.77,,,,,
EOG,109.10,122.51,04/21/22,-5.22,,,,,
EXEL,22.44,22.70,04/21/22,-1.23,,,,,
EXPD,99.17,99.79,04/21/22,-0.36,,,,,
EXPI,15.41,15.65,04/21/22,-5.30,,,,,
FANG,121.73,142.65,04/21/22,-8.80,,,,,
FTCH,12.29,12.55,04/21/22,-8.21,,,,,
FTNT,319.38,332.62,04/21/22,-8.52,,,,,
ADMA,1.97,1.93,04/22/22,2.07,,,,,
ANET,115.47,118.79,04/22/22,-2.79,,,,,
ASXC,0.51,0.49,04/22/22,4.08,,,,,
AUMN,0.40,0.46,04/22/22,-13.04,,,,,
BLDR,62.90,62.16,04/22/22,1.19,,,,,
BX,109.66,112.30,04/22/22,-2.35,,,,,
CG,39.86,40.56,04/22/22,-1.73,,,,,
CLR,54.92,59.44,04/22/22,-7.60,,,,,
CNR,24.39,24.40,04/22/22,-0.04,,,,,
CPE,51.34,56.59,04/22/22,-9.28,,,,,
CTRA,27.24,28.70,04/22/22,-5.09,,,,,
DLPN,4.01,3.90,04/22/22,2.82,,,,,
DQ,40.78,40.70,04/22/22,0.20,,,,,
EGY,6.20,6.76,04/22/22,-8.28,,,,,
EOG,109.10,117.04,04/22/22,-6.78,,,,,
EPAM,276.84,282.49,04/22/22,-2.00,,,,,
EXEL,22.44,22.38,04/22/22,0.27,,,,,
EXPD,99.17,99.51,04/22/22,-0.34,,,,,
EXPI,15.41,14.84,04/22/22,3.84,,,,,
FANG,121.73,131.98,04/22/22,-7.77,,,,,
ADMA,1.97,1.99,04/23/22,-1.01,,,,,
ANDE,50.94,52.61,04/23/22,-3.17,,,,,
ANET,115.47,117.70,04/23/22,-1.89,,,,,
ASXC,0.51,0.50,04/23/22,2.00,,,,,
AUMN,0.40,0.45,04/23/22,-11.11,,,,,
BLDR,62.90,61.41,04/23/22,2.43,,,,,
BTCM,2.08,1.98,04/23/22,5.05,,,,,
BX,109.66,110.59,04/23/22,-0.84,,,,,
CAMT,31.33,30.59,04/23/22,2.42,,,,,
CCS,50.85,49.75,04/23/22,2.21,,,,,
CG,39.86,39.83,04/23/22,0.08,,,,,
CLR,54.92,58.80,04/23/22,-6.60,,,,,
CNR,24.39,24.39,04/23/22,0,,,,,
CPE,51.34,55.69,04/23/22,-7.81,,,,,
CTRA,27.24,28.96,04/23/22,-5.94,,,,,
DLPN,4.01,4.01,04/23/22,0,,,,,
DQ,40.78,41.28,04/23/22,-1.21,,,,,
EGY,6.20,6.74,04/23/22,-8.01,,,,,
EOG,109.10,116.12,04/23/22,-6.05,,,,,
EPAM,276.84,276.76,04/23/22,0.03,,,,,
ADMA,1.97,1.97,04/25/22,,,,,,
ANET,115.47,115.47,04/25/22,,,,,,
ASXC,0.51,0.51,04/25/22,,,,,,
AUMN,0.40,0.40,04/25/22,,,,,,
BLDR,62.90,62.90,04/25/22,,,,,,
BX,109.66,109.66,04/25/22,,,,,,
CBAT,1.17,1.17,04/25/22,,,,,,
CG,39.86,39.86,04/25/22,,,,,,
CLAR,20.56,20.56,04/25/22,,,,,,
CLR,54.92,54.92,04/25/22,,,,,,
CNR,24.39,24.39,04/25/22,,,,,,
CPE,51.34,51.34,04/25/22,,,,,,
CTRA,27.24,27.24,04/25/22,,,,,,
DQ,40.78,40.78,04/25/22,,,,,,
EGY,6.20,6.20,04/25/22,,,,,,
EOG,109.10,109.10,04/25/22,,,,,,
EXEL,22.44,22.44,04/25/22,,,,,,
EXPD,99.17,99.17,04/25/22,,,,,,
EXPI,15.41,15.41,04/25/22,,,,,,
FANG,121.73,121.73,04/25/22,,,,,,
