Ticker,CurrentPrice,PriceWhenAdded,DateAdded,DayPercent,FiveDayPercent,TenDayPercent,MonthPercent,ThreeMonthPercent,YearPercent
HAL,33.60,41.31,04/19/22,-3.73,-12.25,-10.99,,,
LPI,56.88,80.54,04/19/22,2.79,-5.29,-8.75,,,
GDEN,42.26,54.83,04/19/22,1.28,-10.03,-11.80,,,
HAL,33.60,39.77,04/20/22,-0.38,-9.63,-8.27,,,
TWI,14.82,15.34,04/20/22,-1.69,-7.95,7.50,,,
LPI,56.88,82.79,04/20/22,3.90,-11.46,-11.25,,,
GDEN,42.26,55.53,04/20/22,-5.82,-13.24,-18.35,,,
HAL,33.60,39.62,04/21/22,-4.87,-7.32,-7.40,,,
LPI,56.88,86.02,04/21/22,-12.82,-12.68,-20.19,,,
TWI,14.82,15.08,04/21/22,-6.50,-7.10,6.63,,,
OVV,42.49,52.27,04/28/22,-2.07,5.47,,,,
OVV,42.49,53.10,04/29/22,-4.48,3.24,,,,
OVV,42.49,51.19,05/01/22,-0.92,7.09,,,,
OVV,42.49,53.55,05/03/22,0.63,-20.65,,,,
TWI,14.82,15.57,05/03/22,5.91,-4.82,,,,
OVV,42.49,53.89,05/04/22,2.30,,,,,
TWI,14.82,16.49,05/04/22,-2.49,,,,,
ATEN,13.97,16.37,05/04/22,-7.33,,,,,
OVV,42.49,55.13,05/05/22,-0.56,,,,,
TWI,14.82,16.08,05/05/22,-1.93,,,,,
EPAM,304.99,346.00,05/05/22,1.26,,,,,
OVV,42.49,54.82,05/06/22,-13.70,,,,,
TWI,14.82,15.77,05/06/22,-4.76,,,,,
EPAM,304.99,350.37,05/06/22,-9.27,,,,,
TWI,14.82,15.43,05/09/22,-3.95,,,,,
EPAM,304.99,330.18,05/09/22,-7.63,,,,,
