Ticker,CurrentPrice,PriceWhenAdded,DateAdded,DayPercent,FiveDayPercent,TenDayPercent,MonthPercent,ThreeMonthPercent,YearPercent
TH,13.99,13.99,08/08/22,,,,,,
NFE,52.81,52.81,08/08/22,,,,,,
ARLP,21.68,21.68,08/08/22,,,,,,
VIST,8.90,8.90,08/08/22,,,,,,
GTE,1.26,1.26,08/08/22,,,,,,
CHK,92.81,92.81,08/08/22,,,,,,
LNG,147.71,147.71,08/08/22,,,,,,
SMCI,61.09,61.09,08/08/22,,,,,,
NOG,27.17,27.17,08/08/22,,,,,,
DNOW,11.23,11.23,08/08/22,,,,,,
EVH,35.36,35.36,08/08/22,,,,,,
SM,37.35,37.35,08/08/22,,,,,,
HRMY,54.00,54.00,08/08/22,,,,,,
ERF,13.32,13.32,08/08/22,,,,,,
TRGP,65.00,65.00,08/08/22,,,,,,
SWAV,221.77,221.77,08/08/22,,,,,,
DCP,32.86,32.86,08/08/22,,,,,,
EXEL,21.55,21.55,08/08/22,,,,,,
PFGC,51.35,51.35,08/08/22,,,,,,
SYY,86.74,86.74,08/08/22,,,,,,
