Ticker,CurrentPrice,PriceWhenAdded,DateAdded,DayPercent,FiveDayPercent,TenDayPercent,MonthPercent,ThreeMonthPercent,YearPercent
ALGN,365.83,424.54,04/19/22,0.61,,,,,
ANET,115.49,128.84,04/19/22,-0.90,,,,,
CNQ,60.34,66.93,04/19/22,2.54,,,,,
CTRA,27.32,30.47,04/19/22,-0.33,,,,,
DAVA,110.50,119.46,04/19/22,0.11,,,,,
DQ,40.61,46.74,04/19/22,-4.32,,,,,
EOG,109.30,121.76,04/19/22,0.16,,,,,
EPAM,276.25,297.98,04/19/22,-1.55,,,,,
EXPD,99.04,98.69,04/19/22,0.98,,,,,
FND,80.18,86.16,04/19/22,0.31,,,,,
FTNT,318.20,335.19,04/19/22,0.94,,,,,
GNK,20.18,25.64,04/19/22,-2.22,,,,,
GNRC,241.44,267.20,04/19/22,-3.18,,,,,
GOOGL,2421.94,2600.18,04/19/22,-1.61,,,,,
GRBK,19.67,19.98,04/19/22,2.45,,,,,
LULU,361.57,404.66,04/19/22,-3.16,,,,,
MPWR,410.42,437.45,04/19/22,-1.96,,,,,
MRNA,146.62,152.72,04/19/22,-1.98,,,,,
NVDA,194.45,221.98,04/19/22,-4.22,,,,,
PAYC,304.45,318.97,04/19/22,-2.32,,,,,
ALGN,365.83,427.11,04/20/22,-7.74,,,,,
ANET,115.49,127.68,04/20/22,-2.93,,,,,
CNQ,60.34,68.63,04/20/22,1.12,,,,,
CTRA,27.32,30.37,04/20/22,1.25,,,,,
DAVA,110.50,119.59,04/20/22,-5.18,,,,,
DQ,40.61,44.72,04/20/22,-12.10,,,,,
EOG,109.30,121.95,04/20/22,0.46,,,,,
EPAM,276.25,293.36,04/20/22,-1.87,,,,,
EXPD,99.04,99.66,04/20/22,0.13,,,,,
FND,80.18,86.43,04/20/22,-1.94,,,,,
FTNT,318.20,338.33,04/20/22,-1.69,,,,,
GNK,20.18,25.07,04/20/22,0.48,,,,,
GNRC,241.44,258.71,04/20/22,-6.95,,,,,
GOOGL,2421.94,2558.20,04/20/22,-1.02,,,,,
GRBK,19.67,20.47,04/20/22,-1.17,,,,,
LULU,361.57,391.89,04/20/22,-2.78,,,,,
MPWR,410.42,428.87,04/20/22,-1.91,,,,,
MRNA,146.62,149.69,04/20/22,-0.93,,,,,
NVDA,194.45,212.61,04/20/22,-1.33,,,,,
PAYC,304.45,311.56,04/20/22,-0.91,,,,,
ALGN,365.83,394.07,04/21/22,-8.50,,,,,
ANET,115.49,123.94,04/21/22,-5.03,,,,,
CNQ,60.34,69.40,04/21/22,-7.97,,,,,
CTRA,27.32,30.75,04/21/22,-5.82,,,,,
DAVA,110.50,113.40,04/21/22,-4.04,,,,,
DQ,40.61,39.31,04/21/22,5.01,,,,,
EOG,109.30,122.51,04/21/22,-5.22,,,,,
EPAM,276.25,287.86,04/21/22,-3.86,,,,,
EXPD,99.04,99.79,04/21/22,-0.36,,,,,
FND,80.18,84.75,04/21/22,-6.19,,,,,
FTNT,318.20,332.62,04/21/22,-8.52,,,,,
GNK,20.18,25.19,04/21/22,-6.31,,,,,
GNRC,241.44,240.74,04/21/22,-1.15,,,,,
GOOGL,2421.94,2532.00,04/21/22,-5.50,,,,,
GRBK,19.67,20.23,04/21/22,-3.16,,,,,
LULU,361.57,380.99,04/21/22,-4.55,,,,,
MPWR,410.42,420.69,04/21/22,-3.92,,,,,
MRNA,146.62,148.30,04/21/22,-5.37,,,,,
NVDA,194.45,209.79,04/21/22,-6.98,,,,,
PAYC,304.45,308.73,04/21/22,-4.13,,,,,
ALGN,365.83,367.98,04/22/22,-0.58,,,,,
ANET,115.49,118.79,04/22/22,-2.78,,,,,
CNQ,60.34,64.06,04/22/22,-5.81,,,,,
CTRA,27.32,28.70,04/22/22,-4.81,,,,,
