Ticker,CurrentPrice,PriceWhenAdded,DateAdded,DayPercent,FiveDayPercent,TenDayPercent,MonthPercent,ThreeMonthPercent,YearPercent
GOGL,12.99,13.50,04/19/22,-1.11,-11.63,-0.89,,,
METC,13.81,19.77,04/19/22,-8.90,-21.95,-19.78,,,
VYGR,5.89,9.54,04/19/22,7.44,-21.91,-14.05,,,
AGRO,9.93,12.43,04/19/22,2.09,-5.55,-6.92,,,
MSP,33.98,34.74,04/19/22,-0.17,-0.03,0.12,,,
SMPL,36.37,44.57,04/19/22,-0.29,-5.56,-8.93,,,
CALM,51.50,55.50,04/19/22,2.04,-2.36,-2.41,,,
TTE,50.39,51.08,04/20/22,-0.02,-5.62,1.59,,,
CMRE,12.87,16.15,04/20/22,-0.80,-15.17,-11.64,,,
METC,13.81,18.01,04/20/22,-7.00,-10.38,-16.38,,,
EGY,5.80,7.61,04/20/22,-1.84,-13.67,-11.96,,,
VYGR,5.89,10.25,04/20/22,-26.24,-28.98,-22.73,,,
MRTN,18.05,17.58,04/20/22,-2.39,-2.28,5.18,,,
HAL,33.60,39.77,04/20/22,-0.38,-9.63,-8.27,,,
MSP,33.98,34.68,04/20/22,0.06,-0.06,-0.14,,,
TNL,49.79,55.68,04/20/22,-0.16,-2.23,-4.08,,,
AMR,144.00,144.09,04/21/22,-10.31,9.47,16.96,,,
DOW,66.14,70.12,04/21/22,-2.31,-3.29,-2.35,,,
NEX,9.50,11.28,04/21/22,-7.36,-1.51,-4.96,,,
NUE,128.36,179.66,04/21/22,-10.36,-10.58,-21.62,,,
PUMP,12.00,16.00,04/21/22,-10.25,-10.88,-17.56,,,
STLD,76.51,96.36,04/21/22,-7.00,-6.96,-15.51,,,
IONS,33.46,43.17,04/21/22,-3.34,-8.39,-11.86,,,
MSP,33.98,34.70,04/21/22,-0.03,0.37,-0.37,,,
HP,44.99,48.75,04/21/22,-6.17,-2.99,-0.70,,,
MMC,156.52,180.90,04/21/22,-5.57,-5.08,-10.89,,,
TNL,49.79,55.59,04/21/22,-4.43,0.05,-4.75,,,
VRRM,13.84,15.81,04/21/22,-5.95,-9.04,-12.02,,,
ARMK,33.65,39.49,04/21/22,-3.14,-4.86,-9.22,,,
SABR,7.78,11.06,04/21/22,-2.89,0,-18.99,,,
NEX,9.50,10.25,04/22/22,-5.46,7.61,8.20,,,
NUE,128.36,164.40,04/22/22,-5.78,-5.85,-17.41,,,
MSP,33.98,34.65,04/22/22,0,0.14,-0.63,,,
MSP,33.98,34.65,04/25/22,0.23,0.75,-2.40,,,
SEAS,55.62,71.86,04/25/22,-1.14,-5.98,-22.39,,,
AMR,144.00,138.66,04/26/22,11.16,15.84,3.85,,,
ARCH,157.77,155.65,04/26/22,9.94,13.13,1.36,,,
ARLP,17.46,17.06,04/27/22,8.44,11.72,,,,
MSP,33.98,34.66,04/27/22,0.49,-0.09,,,,
ARCH,157.77,169.79,04/27/22,-0.44,3.06,,,,
BSM,14.54,15.72,04/27/22,1.97,-1.08,,,,
AMR,144.00,157.32,04/28/22,-1.64,7.13,,,,
MRK,87.58,88.15,04/28/22,0.61,-0.16,,,,
OPCH,26.44,29.36,04/28/22,1.77,-0.68,,,,
AVT,46.44,43.34,04/28/22,0.74,8.68,,,,
IMO,47.92,50.08,04/28/22,0.12,4.85,,,,
IMO,47.92,50.43,04/29/22,-0.73,3.47,,,,
AVT,46.44,44.65,04/29/22,-2.08,4.77,,,,
CYTK,37.19,39.88,04/29/22,-1.65,-6.32,,,,
IMO,47.92,50.14,05/01/22,-0.16,4.07,,,,
AVT,46.44,43.66,05/01/22,0.14,7.15,,,,
CYTK,37.19,39.87,05/01/22,-1.63,-6.30,,,,
IMO,47.92,50.06,05/02/22,5.15,-2.58,,,,
AVT,46.44,43.72,05/02/22,3.75,7.11,,,,
BSM,14.54,15.59,05/03/22,-0.26,-6.74,,,,
WLK,127.71,131.35,05/03/22,3.95,-2.77,,,,
GOGL,12.99,13.38,05/03/22,1.27,-2.91,,,,
DSKE,8.15,8.41,05/03/22,5.83,-3.09,,,,
LBRT,13.71,16.49,05/03/22,-0.36,-16.86,,,,
VNOM,28.56,30.33,05/03/22,0.10,-5.84,,,,
CTRA,29.31,31.01,05/03/22,0.87,-5.48,,,,
ATKR,103.25,110.14,05/03/22,1.84,-6.26,,,,
AVT,46.44,45.36,05/03/22,-0.55,2.38,,,,
WTI,4.76,5.70,05/04/22,0.53,,,,,
SNDR,24.02,24.51,05/04/22,0,,,,,
NEX,9.50,10.84,05/04/22,-1.11,,,,,
TTE,50.39,52.49,05/05/22,1.73,,,,,
WLK,127.71,138.79,05/05/22,-1.32,,,,,
SQM,73.62,80.27,05/05/22,-1.40,,,,,
FLMN,6.79,7.59,05/05/22,-2.24,,,,,
AMR,144.00,168.53,05/05/22,0.35,,,,,
LBRT,13.71,16.59,05/05/22,-0.12,,,,,
SLGN,43.75,46.60,05/05/22,-2.83,,,,,
MRO,23.81,27.68,05/05/22,1.12,,,,,
MNRL,25.18,26.64,05/05/22,-0.98,,,,,
DNOW,9.72,11.11,05/05/22,-2.70,,,,,
WCC,125.28,140.14,05/05/22,-1.41,,,,,
AVT,46.44,47.10,05/05/22,-0.68,,,,,
AMR,144.00,169.12,05/06/22,-14.35,,,,,
CWK,17.14,18.60,05/06/22,-5.43,,,,,
EOG,119.25,129.99,05/06/22,-9.27,,,,,
PXD,246.52,268.39,05/06/22,-8.94,,,,,
SHEL,54.60,55.87,05/09/22,-2.27,,,,,
ZIM,60.19,59.08,05/09/22,1.88,,,,,
HES,104.53,111.97,05/09/22,-6.64,,,,,
WLK,127.71,133.04,05/09/22,-4.01,,,,,
SKYH,8.60,7.79,05/09/22,10.40,,,,,
WCC,125.28,130.84,05/09/22,-4.25,,,,,
AVT,46.44,46.83,05/09/22,-0.83,,,,,
SKYH,8.60,8.60,05/10/22,,,,,,
BLDR,64.75,64.75,05/10/22,,,,,,
