Ticker,CurrentPrice,PriceWhenAdded,DateAdded,DayPercent,FiveDayPercent,TenDayPercent,MonthPercent,ThreeMonthPercent,YearPercent
EC,17.31,17.86,04/19/22,-0.45,-6.61,-8.06,,,
MAPS,5.67,6.36,04/20/22,-4.25,-12.74,-8.33,,,
PARA,30.85,33.42,04/20/22,-2.30,-13.44,-11.91,,,
DQ,63.87,39.31,04/21/22,5.01,4.86,12.47,,,
IPI,61.51,106.76,04/21/22,-10.87,-22.20,-33.70,,,
LEU,33.25,32.72,04/21/22,-8.56,-9.93,-12.44,,,
RYB,0,0.87,04/21/22,3.45,-4.60,-10.34,,,
SBSW,12.10,14.94,04/21/22,-2.68,-6.56,-15.60,,,
SNBR,41.22,46.80,04/21/22,-4.59,-8.55,-7.67,,,
AEO,12.98,15.71,04/22/22,-0.83,-3.82,-8.02,,,
ARCH,173.68,142.00,04/22/22,-9.40,17.17,23.41,,,
CYH,5.20,9.62,04/22/22,-3.85,-20.27,-27.75,,,
HTH,29.61,26.74,04/22/22,-4.00,-4.67,12.42,,,
SEM,24.43,22.41,04/22/22,1.65,0.89,6.65,,,
AEO,12.98,15.45,04/23/22,0.84,-2.20,-6.47,,,
AMR,177.00,129.24,04/23/22,-5.14,19.73,31.00,,,
ANTE,1.32,1.43,04/23/22,3.50,-16.08,-21.68,,,
ARCH,173.68,133.95,04/23/22,-3.96,24.21,30.82,,,
BIG,24.92,34.90,04/23/22,-1.69,-11.46,-11.49,,,
BKE,32.21,30.91,04/23/22,0.23,0.49,2.78,,,
CAAS,2.94,2.65,04/23/22,-1.89,8.68,9.43,,,
CPE,63.07,55.69,04/23/22,-7.51,-7.94,-9.32,,,
CTRN,27.43,28.03,04/23/22,0.71,-0.21,3.75,,,
CYH,5.20,9.43,04/23/22,-1.91,-18.66,-26.30,,,
HCA,207.16,210.64,04/23/22,0.75,1.86,7.41,,,
HDSN,10.43,6.27,04/23/22,-0.32,7.02,50.24,,,
HTH,29.61,26.40,04/23/22,-2.77,-3.45,13.86,,,
NUE,130.88,161.05,04/23/22,-3.53,-3.89,-15.55,,,
PLCE,46.69,48.53,04/23/22,-0.04,-4.53,-1.59,,,
SEM,24.43,22.22,04/23/22,2.52,1.76,7.56,,,
TECK,45.25,37.24,04/23/22,-7.33,5.96,5.75,,,
THC,67.17,73.11,04/23/22,3.16,-0.82,1.27,,,
URBN,22.17,23.67,04/23/22,1.69,0.55,-1.06,,,
WSBF,16.90,17.06,04/23/22,-4.40,-5.86,-4.98,,,
CLF,22.75,26.50,04/25/22,2.72,-3.51,-16.19,,,
CMRE,13.47,13.46,04/25/22,0.22,0.07,-5.05,,,
CPE,63.07,51.51,04/25/22,5.67,-5.92,-12.54,,,
CPG,10.75,6.40,04/25/22,5.78,6.25,1.09,,,
CTRM,1.88,2.03,04/25/22,-1.48,-3.94,-13.30,,,
DAC,75.70,76.12,04/25/22,2.14,5.91,4.40,,,
DLNG,4.36,2.89,04/25/22,4.15,8.30,19.38,,,
DSX,5.72,4.55,04/25/22,6.59,3.96,3.74,,,
EGLE,68.46,56.25,04/25/22,7.61,8.60,4.75,,,
EGY,8.45,6.23,04/25/22,8.99,3.85,-6.58,,,
GAU,0.45,0.46,04/25/22,2.17,-4.35,-8.70,,,
GGB,6.05,5.45,04/25/22,-1.47,-2.20,-2.75,,,
GNK,24.36,20.18,04/25/22,5.40,7.14,2.18,,,
GOGL,14.67,11.35,04/25/22,4.76,9.16,10.93,,,
GSL,21.69,21.48,04/25/22,1.30,2.00,-0.79,,,
IPI,61.51,85.11,04/25/22,4.90,-9.61,-29.12,,,
MT,31.83,28.86,04/25/22,-0.42,-1.00,-4.47,,,
NGD,1.38,1.50,04/25/22,0,-5.33,-16.67,,,
NM,3.24,3.72,04/25/22,-2.96,-7.80,-12.37,,,
NMM,29.01,28.24,04/25/22,1.98,4.07,4.99,,,
ANTE,1.32,1.31,04/26/22,-2.29,-9.92,-8.40,-1.53,,
CIA,3.84,3.15,04/26/22,-0.63,-7.30,-8.57,23.81,,
IVZ,18.70,19.28,04/26/22,-3.01,0.62,-9.39,-0.93,,
MNTS,3.47,2.76,04/26/22,0,3.99,-7.61,29.71,,
NEW,0,1.30,04/26/22,0,4.62,4.62,-100,,
SAN,3.16,3.03,04/26/22,-2.31,-2.64,-8.91,5.94,,
ZION,56.58,56.22,04/26/22,-0.37,2.74,-4.66,2.08,,
CTRM,1.88,1.81,04/27/22,7.18,11.60,8.29,3.87,,
CYH,5.20,7.95,04/28/22,-3.52,-10.94,-20.50,,,
DDD,10.97,11.29,04/28/22,0.44,1.68,-14.97,,,
FLWS,10.09,9.83,04/28/22,3.76,16.89,6.21,,,
GHL,11.72,12.03,04/28/22,0.67,4.66,4.82,,,
RLGY,12.15,11.40,04/28/22,-3.86,-2.02,-7.72,,,
VIRT,23.75,29.33,04/28/22,-1.53,-2.25,-11.49,,,
XL,1.47,1.38,04/28/22,1.45,8.70,-9.42,,,
UFI,15.69,14.61,04/28/22,0.41,-3.15,-1.78,,,
EBS,32.39,33.68,04/29/22,-2.49,-5.58,-14.67,,,
ETD,23.12,24.33,04/29/22,0.82,3.78,-0.86,,,
RILY,53.25,46.10,04/29/22,3.34,8.79,4.82,,,
WU,17.70,17.03,04/29/22,-0.06,0.23,-0.18,,,
ASX,7.09,6.44,05/01/22,-0.16,1.40,2.80,,,
BELFB,16.50,16.31,05/01/22,0.61,4.29,1.16,,,
BTBT,1.65,2.03,05/01/22,4.93,-2.96,-15.27,,,
CINF,127.19,122.66,05/01/22,-1.72,2.22,2.91,,,
CLF,22.75,25.49,05/01/22,0.31,-4.83,-14.75,,,
COIN,70.54,112.71,05/01/22,6.89,-6.37,-39.78,,,
CYH,5.20,7.67,05/01/22,-6.52,-9.39,-15.38,,,
EBS,32.39,32.38,05/01/22,1.42,-1.79,-11.24,,,
ETD,23.12,23.74,05/01/22,3.33,6.36,1.60,,,
FLIC,18.74,16.78,05/01/22,1.91,6.44,8.46,,,
HIVE,3.97,1.46,05/01/22,2.74,-3.42,-36.30,,,
IPI,61.51,76.58,05/01/22,0.46,-12.63,-14.57,,,
MNTS,3.47,2.80,05/01/22,1.43,2.86,4.64,,,
NMRK,10.24,12.15,05/01/22,-3.13,0.91,-6.58,,,
RILY,53.25,45.16,05/01/22,5.49,11.05,7.00,,,
WU,17.70,16.76,05/01/22,1.55,1.85,1.43,,,
CCRN,18.39,17.22,05/02/22,-0.12,-1.92,-6.04,,,
CO,3.12,2.26,05/02/22,5.75,6.64,21.68,,,
VEON,0.51,0.63,05/02/22,-1.59,-22.22,-23.81,,,
CNO,20.22,21.81,05/03/22,-1.47,-5.91,-6.19,,,
CURO,7.80,10.05,05/03/22,-4.98,-19.50,-14.43,,,
SOS,0.39,0.52,05/03/22,-7.69,-23.08,-23.08,,,
BGFV,11.90,14.59,05/04/22,0.62,-8.36,-16.52,,,
EQX,6.01,5.95,05/04/22,0.17,-5.55,-7.39,,,
FTCH,9.78,10.35,05/04/22,-2.90,-24.35,-20.39,,,
GDEN,49.28,45.11,05/04/22,1.82,-3.06,-4.61,,,
HLF,22.73,25.05,05/04/22,0.04,-10.90,-12.26,,,
JHG,27.40,27.85,05/04/22,-2.55,-3.20,-1.62,,,
QUAD,3.52,4.98,05/04/22,-11.04,-13.65,-13.05,,,
TUP,6.21,12.01,05/04/22,-11.74,-38.30,-46.29,,,
AVIR,8.22,5.62,05/05/22,-0.53,14.41,,,,
BBVA,5.30,4.82,05/05/22,-0.21,0.83,,,,
BTBT,1.65,2.00,05/05/22,-1.50,-20.0,,,,
CAN,3.93,3.57,05/05/22,7.84,-19.89,,,,
CCRN,18.39,17.71,05/05/22,-2.71,-10.56,,,,
CIA,3.84,2.53,05/05/22,-1.98,25.30,,,,
CLF,22.75,25.03,05/05/22,-3.08,-15.14,,,,
CO,3.12,2.20,05/05/22,14.09,10.91,,,,
COIN,70.54,114.25,05/05/22,-7.63,-48.80,,,,
CPE,63.07,51.01,05/05/22,-1.00,-13.72,,,,
CROX,58.28,65.63,05/05/22,-4.05,-14.60,,,,
CURO,7.80,9.16,05/05/22,0.44,-10.70,,,,
DB,10.84,9.89,05/05/22,-0.71,-4.55,,,,
DDS,323.75,317.33,05/05/22,-2.62,-1.44,,,,
DFIN,30.95,27.51,05/05/22,-3.42,1.96,,,,
EMKR,3.57,3.08,05/05/22,3.57,3.25,,,,
ENVA,32.03,34.69,05/05/22,-3.14,-13.26,,,,
FINV,4.47,3.80,05/05/22,-3.16,-6.32,,,,
FLGT,53.51,54.40,05/05/22,0.18,-5.15,,,,
FTCH,9.78,10.05,05/05/22,-5.77,-23.68,,,,
AOSL,41.27,38.16,05/06/22,-7.18,1.55,,,,
COIN,70.54,105.53,05/06/22,-20.87,-35.69,,,,
DISH,21.34,23.99,05/06/22,-11.21,-13.05,,,,
GPRO,6.72,7.22,05/06/22,-10.66,-2.35,,,,
GT,13.50,12.56,05/06/22,-9.55,-3.34,,,,
GTIM,3.12,2.99,05/06/22,-10.70,-11.71,,,,
LEU,33.25,26.58,05/06/22,-22.27,-19.90,,,,
QRTEA,3.90,3.59,05/06/22,2.51,6.96,,,,
VCSA,3.57,6.61,05/06/22,-13.92,-28.14,,,,
ARCH,173.68,159.72,05/09/22,-1.00,2.38,,,,
BTBT,1.65,1.71,05/09/22,-7.60,-5.26,,,,
BVH,29.77,24.43,05/09/22,2.54,3.03,,,,
BVN,8.15,7.87,05/09/22,-3.18,-4.45,,,,
CAN,3.93,3.39,05/09/22,-5.90,-13.57,,,,
CO,3.12,2.44,05/09/22,1.23,12.70,,,,
CODX,5.62,3.97,05/09/22,-2.52,13.85,,,,
COIN,70.54,90.16,05/09/22,-16.27,-28.46,,,,
CPE,63.07,46.47,05/09/22,-3.70,3.14,,,,
CPG,10.75,6.74,05/09/22,-5.04,11.13,,,,
DQ,63.87,39.02,05/09/22,-2.18,5.07,,,,
DSX,5.72,4.80,05/09/22,2.08,12.71,,,,
DTEA,2.10,2.09,05/09/22,-4.78,-4.31,,,,
EGLE,68.46,60.62,05/09/22,1.78,9.16,,,,
EGY,8.45,5.98,05/09/22,-2.68,8.53,,,,
GLBS,2.38,2.17,05/09/22,-4.15,-6.45,,,,
GOGL,14.67,12.78,05/09/22,2.03,13.85,,,,
GPRO,6.72,6.64,05/09/22,-3.77,4.97,,,,
HIVE,3.97,1.22,05/09/22,-3.28,-29.51,,,,
HMLP,9.06,6.37,05/09/22,-5.18,0.16,,,,
ADNT,37.71,31.18,05/09/22,-2.02,-0.96,,,,
AER,49.24,42.24,05/09/22,-0.28,6.23,,,,
AGRO,10.65,10.06,05/09/22,-0.99,3.18,,,,
AINV,12.17,11.77,05/09/22,1.87,4.33,,,,
ALTO,4.98,4.91,05/09/22,-0.61,-0.20,,,,
AOSL,41.27,35.49,05/09/22,0.45,10.85,,,,
BBW,19.59,17.60,05/09/22,-1.31,8.07,,,,
CBAT,1.36,1.00,05/09/22,4.00,1.00,,,,
CRC,49.63,39.46,05/09/22,-0.89,6.28,,,,
CRESY,6.67,6.15,05/09/22,-2.28,7.97,,,,
CROX,58.28,54.77,05/09/22,-4.91,5.37,,,,
