Ticker,CurrentPrice,PriceWhenAdded,DateAdded,DayPercent,FiveDayPercent,TenDayPercent,MonthPercent,ThreeMonthPercent,YearPercent
HMLP,9.06,6.91,04/19/22,-0.58,-4.63,-3.76,,,
MFIN,8.10,8.08,04/19/22,-0.12,-5.94,7.80,,,
NMM,28.87,33.43,04/19/22,-1.73,-13.64,-6.07,,,
LPG,17.59,15.66,04/19/22,0.19,-7.28,-4.73,,,
UFCS,32.74,29.57,04/19/22,2.43,1.45,2.43,,,
DAC,75.46,93.35,04/19/22,-2.43,-16.31,-8.52,,,
KELYA,19.72,20.88,04/19/22,1.01,0.77,-6.23,,,
BMA,14.41,17.04,04/19/22,-0.82,-12.03,-12.50,,,
HOLI,15.72,15.71,04/19/22,-1.46,-4.65,0.89,,,
TCPC,13.59,14.27,04/19/22,-0.14,-3.50,-4.70,,,
HMN,37.28,40.78,04/19/22,1.47,-0.37,-1.08,,,
PRA,22.42,25.95,04/19/22,0.92,-3.82,-5.36,,,
EIG,41.49,41.76,04/19/22,2.18,0.81,-4.72,,,
WNEB,8.40,8.80,04/19/22,2.39,-2.27,-2.16,,,
CLS,11.26,11.11,04/19/22,1.71,-4.05,-0.81,,,
ADES,5.18,6.55,04/19/22,0.15,-7.63,-7.48,,,
KREF,19.13,19.99,04/19/22,1.75,-2.15,-4.05,,,
FISI,27.43,30.01,04/19/22,1.97,-4.23,-6.86,,,
RVSB,6.75,7.25,04/19/22,2.07,0.69,-4.69,,,
ACCO,7.30,7.77,04/19/22,0.64,-1.03,-7.08,,,
HMLP,9.06,6.87,04/20/22,1.75,-4.08,-2.18,,,
MFIN,8.10,8.07,04/20/22,-0.37,-7.56,3.59,,,
NMM,28.87,32.85,04/20/22,-0.15,-7.82,-2.10,,,
LPG,17.59,15.69,04/20/22,-1.47,-5.42,-3.44,,,
UFCS,32.74,30.29,04/20/22,0.50,-1.22,0.56,,,
DAC,75.46,91.08,04/20/22,-2.70,-9.77,-6.03,,,
KELYA,19.72,21.09,04/20/22,0.62,-8.01,-7.02,,,
BMA,14.41,16.90,04/20/22,-3.02,-13.25,-10.95,,,
HOLI,15.72,15.48,04/20/22,0.26,-4.39,2.13,,,
TCPC,13.59,14.25,04/20/22,0.42,-3.16,-2.39,,,
HMN,37.28,41.38,04/20/22,0.14,-2.59,-1.57,,,
PRA,22.42,26.19,04/20/22,0.19,-5.31,-6.34,,,
EIG,41.49,42.67,04/20/22,1.69,-2.04,-8.27,,,
WNEB,8.40,9.01,04/20/22,-0.22,-4.22,-5.33,,,
