Ticker,CurrentPrice,PriceWhenAdded,DateAdded,DayPercent,FiveDayPercent,TenDayPercent,MonthPercent,ThreeMonthPercent,YearPercent
KOLD,10.57,9.17,04/19/22,9.05,,,,,
MKTX,265.80,263.71,04/19/22,4.42,,,,,
KOLD,10.57,10.00,04/20/22,-1.50,,,,,
CSTL,22.99,24.40,04/20/22,0.57,,,,,
XRAY,41.11,42.69,04/20/22,0.70,,,,,
CSTL,22.99,24.54,04/21/22,-6.64,,,,,
SAVA,19.32,19.10,04/22/22,1.15,,,,,
INVE,12.60,12.60,04/25/22,,,,,,
BLFS,13.64,13.64,04/25/22,,,,,,
OVT,22.65,22.65,04/25/22,,,,,,
CSTL,22.99,22.99,04/25/22,,,,,,
VTEB,50.37,50.37,04/25/22,,,,,,
CMF,56.60,56.60,04/25/22,,,,,,
MUB,107.04,107.04,04/25/22,,,,,,
HCA,212.21,212.21,04/25/22,,,,,,
