Ticker,CurrentPrice,PriceWhenAdded,DateAdded,DayPercent,FiveDayPercent,TenDayPercent,MonthPercent,ThreeMonthPercent,YearPercent
NMRK,11.25,13.40,04/19/22,2.61,-3.51,-9.63,,,
EFX,196.91,218.43,04/19/22,0.99,-4.29,-6.46,,,
ODFL,272.14,273.82,04/19/22,1.56,0.72,3.05,,,
DHR,236.90,273.10,04/19/22,3.56,-7.42,-8.40,,,
NOK,4.76,5.20,04/19/22,2.31,-1.35,0.38,,,
MSFT,267.28,285.30,04/19/22,0.19,-4.04,-1.19,,,
FAST,51.86,56.70,04/19/22,1.02,-0.62,-2.29,,,
GOOGL,2283.31,2600.18,04/19/22,-1.61,-8.22,-10.12,,,
SCHW,64.17,76.90,04/19/22,0.04,-9.25,-9.41,,,
TSCO,194.48,221.65,04/19/22,-0.09,-5.85,-6.87,,,
AAPL,153.71,167.40,04/19/22,-0.59,-5.04,-4.94,,,
UNP,220.33,245.62,04/19/22,1.21,-4.18,-5.42,,,
HUN,33.44,35.28,04/19/22,0.96,-5.07,-1.98,,,
ACI,29.91,33.11,04/19/22,0.82,-3.44,-4.71,,,
ABBV,152.41,156.35,04/19/22,0.98,0.70,-4.05,,,
DHR,236.90,282.83,04/20/22,-0.41,-10.80,-11.53,,,
MSFT,267.28,285.83,04/20/22,0.13,-0.91,-2.30,,,
SCHW,64.17,76.93,04/20/22,-4.93,-10.85,-9.65,,,
AAPL,153.71,166.41,04/20/22,2.18,-5.91,-3.63,,,
TSLA,790.49,981.00,04/20/22,5.53,-10.14,-8.76,,,
ABBV,152.41,157.89,04/20/22,1.03,-0.17,-4.81,,,
EFX,196.91,205.00,04/21/22,-0.68,0.65,1.58,,,
DHR,236.90,281.68,04/21/22,-6.08,-8.76,-10.57,,,
SCHW,64.17,73.14,04/21/22,-3.86,-5.50,-4.50,,,
UNP,220.33,243.71,04/21/22,-3.86,-1.83,-5.02,,,
ABBV,152.41,159.51,04/21/22,-2.83,-2.01,-4.60,,,
FCX,35.31,45.78,04/21/22,-8.45,-8.61,-13.41,,,
DHR,236.90,266.56,04/22/22,-4.51,-5.79,-7.04,,,
NOK,4.76,5.18,04/22/22,-1.35,-2.70,-3.67,,,
GOOGL,2283.31,2417.46,04/22/22,0.19,-5.60,-3.90,,,
SCHW,64.17,71.21,04/22/22,-2.64,-6.85,-5.06,,,
AAPL,153.71,164.44,04/22/22,-3.08,-4.13,-4.23,,,
UNP,220.33,236.95,04/22/22,-2.07,-1.12,-3.93,,,
HCA,223.17,220.07,04/22/22,-3.57,-2.51,2.68,,,
FCX,35.31,42.49,04/22/22,-5.41,-4.57,-10.43,,,
ACI,29.91,32.42,04/22/22,-0.99,-3.52,-6.66,,,
AXP,159.62,183.86,04/22/22,-1.17,-4.98,-8.88,,,
ABBV,152.41,155.09,04/22/22,-1.06,-5.29,-2.08,,,
SM,33.57,35.94,04/22/22,-7.48,-1.14,6.37,,,
CVX,159.51,162.46,04/22/22,-4.97,-3.56,3.23,,,
TECK,35.93,37.88,04/22/22,-8.90,4.17,3.59,,,
NMRK,11.25,13.11,04/23/22,-0.61,-7.32,-6.79,,,
NOK,4.76,5.14,04/23/22,-0.58,-1.95,-2.92,,,
AAPL,153.71,161.79,04/23/22,-1.49,-2.56,-2.66,,,
WM,155.84,157.51,04/23/22,-2.35,4.40,1.69,,,
ZWS,27.79,34.75,04/23/22,-1.70,-10.16,-16.69,,,
VRRM,13.85,14.87,04/23/22,-1.61,-5.65,-8.54,,,
HUN,33.44,34.17,04/23/22,-2.14,-0.88,0.12,,,
JNPR,30.75,35.15,04/23/22,-4.75,-10.33,-9.36,,,
FCX,35.31,41.91,04/23/22,-4.10,-3.25,-9.19,,,
RJF,92.93,103.52,04/23/22,-1.12,-5.85,-6.48,,,
