Ticker,CurrentPrice,PriceWhenAdded,DateAdded,DayPercent,FiveDayPercent,TenDayPercent,MonthPercent,ThreeMonthPercent,YearPercent
UVXY,19.22,12.13,04/19/22,-1.48,36.93,39.16,,,
ASRT,2.20,2.77,04/19/22,-1.81,-21.30,-19.86,,,
FGEN,9.74,10.62,04/19/22,-0.47,-6.97,-9.60,,,
NRGV,10.64,13.00,04/19/22,5.46,8.54,3.31,,,
GMDA,2.36,3.17,04/19/22,-0.95,-16.40,-18.93,,,
SBSW,11.41,16.19,04/19/22,-1.30,-14.21,-12.91,,,
IAG,2.06,3.32,04/19/22,-0.60,-12.35,-14.46,,,
PBR-A,12.56,13.49,04/19/22,0.22,-9.64,-10.75,,,
BPT,14.06,15.49,04/19/22,5.10,-8.33,-11.88,,,
GLPG,57.27,63.66,04/19/22,1.71,-3.77,-3.19,,,
SDOW,34.66,27.54,04/19/22,-2.25,12.16,14.74,,,
EZA,43.52,51.91,04/19/22,-1.70,-8.71,-8.46,,,
SQQQ,54.99,37.77,04/19/22,4.61,24.41,24.04,,,
TRV,172.29,176.16,04/19/22,-0.57,-0.73,-1.90,,,
AKTS,3.76,5.40,04/19/22,-0.74,-15.00,-20.19,,,
HOLI,14.89,15.71,04/19/22,-1.46,-4.65,0.89,,,
PBR,13.41,14.90,04/19/22,0.13,-9.40,-10.47,,,
LFG,19.15,22.04,04/19/22,2.81,-1.77,-1.68,,,
SPXS,24.79,18.28,04/19/22,0,17.67,19.15,,,
SPXU,18.81,13.87,04/19/22,-0.07,17.59,19.11,,,
UVXY,19.22,11.95,04/20/22,2.68,48.54,32.89,,,
ASRT,2.20,2.72,04/20/22,-6.25,-21.32,-22.43,,,
FGEN,9.74,10.57,04/20/22,-3.69,-6.53,-12.49,,,
NRGV,10.64,13.71,04/20/22,-5.11,8.61,-1.82,,,
GMDA,2.36,3.14,04/20/22,-6.05,-20.38,-17.20,,,
SBSW,11.41,15.98,04/20/22,-6.51,-14.58,-14.64,,,
IAG,2.06,3.30,04/20/22,-3.33,-15.15,-39.39,,,
PBR-A,12.56,13.52,04/20/22,-1.78,-10.95,-8.73,,,
BPT,14.06,16.28,04/20/22,-6.63,-14.31,-11.49,,,
SDOW,34.66,26.92,04/20/22,0,16.94,18.02,,,
EZA,43.52,51.03,04/20/22,-2.45,-7.04,-7.37,,,
SQQQ,54.99,39.51,04/20/22,0.84,22.65,20.88,,,
TRV,172.29,175.15,04/20/22,1.83,-0.91,-1.31,,,
AKTS,3.76,5.36,04/20/22,-4.85,-17.91,-18.10,,,
HOLI,14.89,15.48,04/20/22,0.26,-4.39,2.20,,,
PBR,13.41,14.92,04/20/22,-1.41,-10.79,-9.65,,,
LFG,19.15,22.66,04/20/22,-1.81,-5.08,-7.99,,,
SPXS,24.79,18.28,04/20/22,0.71,20.19,20.30,,,
SPXU,18.81,13.86,04/20/22,0.65,20.27,20.35,,,
NVST,41.95,45.33,04/20/22,-0.66,-7.37,-9.68,,,
UVXY,19.22,12.27,04/21/22,25.43,33.33,44.74,,,
ASRT,2.20,2.55,04/21/22,-15.29,-16.86,-17.65,,,
FGEN,9.74,10.18,04/21/22,0.79,-3.93,-12.67,,,
ZETA,7.41,11.16,04/21/22,-5.47,2.33,-22.58,,,
RGS,0.78,1.52,04/21/22,-1.32,-9.21,-17.11,,,
IAG,2.06,3.19,04/21/22,-2.19,-9.09,-34.80,,,
SDOW,34.66,26.92,04/21/22,11.96,10.22,17.94,,,
SQ,81.95,109.71,04/21/22,-6.42,-4.62,-12.91,,,
GMDA,2.36,2.95,04/21/22,-4.07,-9.49,-11.19,,,
EZA,43.52,49.78,04/21/22,-2.09,-3.98,-7.65,,,
AKTS,3.76,5.10,04/21/22,-6.86,-8.04,-13.53,,,
DXD,49.62,41.73,04/21/22,7.96,6.90,12.10,,,
FAZ,26.96,19.46,04/21/22,12.80,16.39,20.81,,,
PBR-A,12.56,13.28,04/21/22,-4.97,-7.83,-4.67,,,
TUP,7.79,18.84,04/21/22,-2.44,-5.36,-43.74,,,
SPXU,18.81,13.95,04/21/22,12.54,10.47,19.50,,,
SPXS,24.79,18.41,04/21/22,12.66,10.16,19.39,,,
BPT,14.06,15.20,04/21/22,-6.25,-8.16,-3.36,,,
SBSW,11.41,14.94,04/21/22,-2.68,-6.56,-15.60,,,
TRV,172.29,178.36,04/21/22,-2.94,-2.16,-3.56,,,
ASRT,2.20,2.27,04/22/22,-0.44,-7.05,-7.93,,,
FGEN,9.74,10.11,04/22/22,0.69,-8.01,-13.65,,,
RGS,0.78,1.48,04/22/22,-3.38,-8.78,-15.54,,,
ZETA,7.41,10.57,04/22/22,5.39,2.46,-19.77,,,
