Ticker,CurrentPrice,PriceWhenAdded,DateAdded,DayPercent,FiveDayPercent,TenDayPercent,MonthPercent,ThreeMonthPercent,YearPercent
AB,38.74,44.15,04/19/22,0.41,-9.97,-7.20,,,
ALK,47.09,58.27,04/19/22,0.81,-7.96,-9.03,,,
ASH,96.41,108.05,04/19/22,2.50,-5.77,-2.92,,,
ASML,517.81,617.15,04/19/22,2.68,-7.61,-7.93,,,
BKU,37.85,43.85,04/19/22,1.37,-12.13,-9.90,,,
DAL,38.36,43.04,04/19/22,2.16,-2.83,-0.09,,,
FIVE,136.25,182.37,04/19/22,0.25,-11.08,-12.38,,,
IBM,129.90,129.15,04/19/22,7.21,6.12,3.11,,,
LULU,292.85,404.66,04/19/22,-3.16,-11.01,-12.05,,,
PAGP,10.68,12.24,04/19/22,1.14,-5.23,-5.88,,,
ROST,88.42,107.36,04/19/22,1.63,-3.12,-6.95,,,
STWD,22.44,23.92,04/19/22,2.38,-2.01,-2.38,,,
SYNH,68.83,79.05,04/19/22,3.29,-14.29,-8.53,,,
TDS,17.76,18.86,04/19/22,2.23,-1.06,-0.53,,,
DAL,38.36,43.97,04/20/22,3.78,-1.96,-3.05,,,
FB,196.27,200.98,04/20/22,-4.97,-12.95,4.26,,,
IBM,129.90,138.46,04/20/22,1.40,-2.46,-3.35,,,
PYPL,77.17,95.95,04/20/22,-5.09,-13.90,-8.60,,,
SOHU,13.89,16.11,04/20/22,-5.71,-9.31,-4.53,,,
TEVA,7.32,9.84,04/20/22,-2.85,-9.35,-17.38,,,
AEG,5.06,5.80,04/21/22,-1.21,-10.86,-12.76,,,
ALK,47.09,59.48,04/21/22,-4.93,-6.62,-14.02,,,
DAL,38.36,45.63,04/21/22,-4.25,-2.85,-7.67,,,
FB,196.27,190.99,04/21/22,-3.60,7.72,9.05,,,
IBM,129.90,140.40,04/21/22,-1.53,-3.32,-3.19,,,
MNST,83.56,86.89,04/21/22,-1.43,1.06,-4.43,,,
PYPL,77.17,91.07,04/21/22,-5.53,1.12,-6.19,,,
SOHU,13.89,15.19,04/21/22,-6.58,-2.90,-0.26,,,
SYY,86.72,89.40,04/21/22,-0.67,-1.21,-6.45,,,
ATEN,13.97,14.58,04/22/22,0.55,-2.06,2.74,,,
AXP,159.25,183.86,04/22/22,-1.17,-4.98,-8.88,,,
CYH,6.39,9.62,04/22/22,-3.85,-20.27,-27.86,,,
DAL,38.36,44.15,04/22/22,-2.04,-2.54,-7.20,,,
FB,196.27,184.68,04/22/22,-0.63,8.55,11.67,,,
GSBD,18.27,19.67,04/22/22,-2.14,-4.58,-3.71,,,
IBM,129.90,139.32,04/22/22,-2.38,-5.10,-2.07,,,
AMP,256.80,280.08,04/23/22,-1.94,-5.21,-5.13,,,
ATEN,13.97,14.44,04/23/22,1.52,-1.11,3.74,,,
AWI,81.44,92.47,04/23/22,-2.12,-8.45,-10.97,,,
AXP,159.25,180.54,04/23/22,0.65,-3.23,-7.21,,,
CTRE,16.14,16.80,04/23/22,-0.54,-3.51,0.71,,,
CYH,6.39,9.43,04/23/22,-1.91,-18.66,-26.41,,,
