Ticker,CurrentPrice,PriceWhenAdded,DateAdded,DayPercent,FiveDayPercent,TenDayPercent,MonthPercent,ThreeMonthPercent,YearPercent
FUV,3.51,3.32,04/27/22,2.71,17.77,,,,
CMPS,8.01,10.41,04/27/22,-8.55,-14.31,,,,
TTCF,7.11,8.19,04/27/22,0.49,-0.85,,,,
NKLA,5.51,7.42,04/27/22,-0.40,-9.16,,,,
VTNR,9.38,8.64,04/27/22,11.92,20.25,,,,
BYSI,1.43,1.73,04/27/22,-6.94,-10.40,,,,
FUV,3.51,3.29,04/28/22,2.13,21.88,,,,
CMPS,8.01,9.40,04/28/22,-3.62,-6.06,,,,
TTCF,7.11,7.97,04/28/22,0.25,0.13,,,,
NKLA,5.51,7.05,04/28/22,1.84,8.65,,,,
VTNR,9.38,9.28,04/28/22,2.48,14.22,,,,
BYSI,1.43,1.55,04/28/22,-1.94,6.45,,,,
FUV,3.51,3.53,04/29/22,2.55,9.92,,,,
CMPS,8.01,9.53,04/29/22,0,-12.70,,,,
TTCF,7.11,8.19,04/29/22,-3.17,-3.54,,,,
NKLA,5.51,7.40,04/29/22,-5.54,-6.62,,,,
VTNR,9.38,9.88,04/29/22,2.83,8.10,,,,
BYSI,1.43,1.60,04/29/22,3.12,0.62,,,,
FUV,3.51,3.36,05/01/22,7.74,15.48,,,,
CMPS,8.01,9.06,05/01/22,5.19,-8.17,,,,
TTCF,7.11,7.99,05/01/22,-0.75,-1.13,,,,
VTNR,9.38,9.51,05/01/22,6.83,12.30,,,,
BYSI,1.43,1.52,05/01/22,8.55,5.92,,,,
FUV,3.51,3.62,05/02/22,10.50,13.54,,,,
CMPS,8.01,9.53,05/02/22,-2.10,-22.77,,,,
TTCF,7.11,7.93,05/02/22,4.16,-5.30,,,,
VTNR,9.38,10.16,05/02/22,0.30,-6.79,,,,
BYSI,1.43,1.65,05/02/22,0.61,-12.12,,,,
FUV,3.51,4.00,05/03/22,-2.25,-12.25,,,,
CMPS,8.01,9.33,05/03/22,-4.39,-14.15,,,,
TTCF,7.11,8.26,05/03/22,-1.69,-13.92,,,,
VTNR,9.38,10.19,05/03/22,1.96,-7.95,,,,
BYSI,1.43,1.66,05/03/22,-6.63,-13.86,,,,
FUV,3.51,3.91,05/04/22,2.56,,,,,
CMPS,8.01,8.92,05/04/22,-1.01,,,,,
TTCF,7.11,8.12,05/04/22,-1.72,,,,,
VTNR,9.38,10.39,05/04/22,2.02,,,,,
BYSI,1.43,1.55,05/04/22,6.45,,,,,
FUV,3.51,4.01,05/05/22,-3.24,,,,,
CMPS,8.01,8.83,05/05/22,-5.78,,,,,
TTCF,7.11,7.98,05/05/22,-1.00,,,,,
VTNR,9.38,10.60,05/05/22,0.75,,,,,
BYSI,1.43,1.65,05/05/22,-2.42,,,,,
FUV,3.51,3.88,05/06/22,5.93,,,,,
CMPS,8.01,8.32,05/06/22,-11.54,,,,,
TTCF,7.11,7.90,05/06/22,-4.94,,,,,
VTNR,9.38,10.68,05/06/22,-11.33,,,,,
BYSI,1.43,1.61,05/06/22,-9.94,,,,,
HYMC,1.22,1.47,05/09/22,-17.01,,,,,
CMPS,8.01,7.82,05/09/22,2.43,,,,,
TTCF,7.11,7.64,05/09/22,-6.94,,,,,
ARVL,1.53,1.68,05/09/22,-8.93,,,,,
APRN,3.34,3.39,05/09/22,-1.47,,,,,
MDVL,2.17,1.89,05/09/22,14.81,,,,,
BYSI,1.43,1.49,05/09/22,-4.03,,,,,
HYMC,1.22,1.22,05/10/22,,,,,,
CMPS,8.01,8.01,05/10/22,,,,,,
TTCF,7.11,7.11,05/10/22,,,,,,
ARVL,1.53,1.53,05/10/22,,,,,,
APRN,3.34,3.34,05/10/22,,,,,,
MDVL,2.17,2.17,05/10/22,,,,,,
BYSI,1.43,1.43,05/10/22,,,,,,
