Ticker,CurrentPrice,PriceWhenAdded,DateAdded,DayPercent,FiveDayPercent,TenDayPercent,MonthPercent,ThreeMonthPercent,YearPercent
FUV,4.50,0,04/15/22,,,,,,
CELZ,2.62,0,04/15/22,,,,,,
CMPS,12.60,0,04/15/22,,,,,,
PECO,34.96,0,04/15/22,,,,,,
LMND,23.77,0,04/15/22,,,,,,
LOCL,8.08,0,04/15/22,,,,,,
TTCF,10.43,0,04/15/22,,,,,,
BYSI,2.19,0,04/15/22,,,,,,
BEEM,24.99,0,04/15/22,,,,,,
BTBT,2.75,0,04/15/22,,,,,,
BLNK,24.16,0,04/15/22,,,,,,
BZ,23.75,0,04/15/22,,,,,,
NKLA,8.02,0,04/15/22,,,,,,
VTNR,8.44,0,04/15/22,,,,,,
VUZI,5.52,0,04/15/22,,,,,,
WKHS,3.57,0,04/15/22,,,,,,
REI,4.18,0,04/15/22,,,,,,
SAVA,26.25,0,04/15/22,,,,,,
EVGO,12.38,0,04/15/22,,,,,,
SIRI,6.46,0,04/15/22,,,,,,
