Ticker,CurrentPrice,PriceWhenAdded,DateAdded,DayPercent,FiveDayPercent,TenDayPercent,MonthPercent,ThreeMonthPercent,YearPercent
ARCH,173.80,165.63,04/19/22,0.08,-6.23,6.28,,,
RAD,6.61,7.40,04/19/22,6.22,-11.49,-10.68,,,
VUZI,6.83,5.43,04/19/22,-0.74,-0.74,1.84,,,
REI,4.76,4.23,04/19/22,5.44,3.55,11.35,,,
SAVA,28.81,22.46,04/19/22,-4.36,-5.39,-6.37,,,
VERV,15.57,18.92,04/19/22,-3.22,-14.43,-18.08,,,
STAR,16.60,19.12,04/19/22,-0.89,-7.32,-7.27,,,
WOOF,16.08,22.40,04/19/22,-0.58,-2.50,-13.44,,,
GES,19.93,24.03,04/19/22,0.17,-4.99,-3.58,,,
PRCH,3.89,5.19,04/19/22,-3.08,-22.35,-26.40,,,
PRTS,8.44,7.28,04/19/22,-5.36,-15.38,-6.87,,,
FOUR,45.74,57.73,04/19/22,-2.89,-7.81,-5.39,,,
NEGG,5.52,6.58,04/19/22,-5.93,-8.21,-4.41,,,
RAD,6.61,7.86,04/20/22,-2.54,-17.30,-13.61,,,
REI,4.76,4.46,04/20/22,6.28,-2.24,8.97,,,
SAVA,28.81,21.48,04/20/22,-10.85,-1.72,-7.03,,,
W,56.68,95.80,04/20/22,2.37,-20.38,-10.59,,,
PRCH,3.89,5.03,04/20/22,-1.19,-22.66,-25.65,,,
FUBO,3.31,5.21,04/20/22,-5.76,-24.18,-20.73,,,
CVNA,25.77,92.68,04/20/22,-5.08,-29.07,-41.06,,,
RAD,6.61,7.66,04/21/22,-3.13,-13.58,-13.84,,,
REI,4.76,4.74,04/21/22,-9.92,-4.85,4.43,,,
SAVA,28.81,19.15,04/21/22,-0.73,9.14,8.36,,,
EVGO,9.57,10.13,04/21/22,-1.58,-5.23,-10.96,,,
WOOF,16.08,21.84,04/21/22,-2.06,-5.31,-7.10,,,
PRCH,3.89,4.97,04/21/22,-12.47,-19.11,-24.14,,,
FUBO,3.31,4.91,04/21/22,-7.33,-17.11,-16.09,,,
CVNA,25.77,87.97,04/21/22,-4.80,-26.83,-44.39,,,
SOFI,6.69,6.65,04/21/22,-3.91,-3.01,2.71,,,
ARCH,173.80,142.00,04/22/22,-9.40,17.17,23.41,,,
REI,4.76,4.24,04/22/22,-5.42,5.42,17.69,,,
SAVA,28.81,19.10,04/22/22,1.15,9.27,4.87,,,
EVGO,9.57,9.81,04/22/22,5.40,-7.65,-9.99,,,
W,56.68,86.05,04/22/22,-3.63,-10.59,-22.36,,,
FUBO,3.31,4.49,04/22/22,-1.34,-15.59,-24.94,,,
NEGG,5.52,6.23,04/22/22,4.17,3.05,-13.48,,,
ME,2.37,3.05,04/22/22,2.95,-1.97,-8.85,,,
CVNA,25.77,84.79,04/22/22,-9.42,-31.64,-45.25,,,
