Ticker,CurrentPrice,PriceWhenAdded,DateAdded,DayPercent,FiveDayPercent,TenDayPercent,MonthPercent,ThreeMonthPercent,YearPercent
CAT,230.12,232.16,04/19/22,1.52,-8.27,-7.74,,,
AXP,165.40,187.17,04/19/22,0.99,-3.28,-7.57,,,
KLAC,357.85,337.82,04/19/22,2.42,-5.66,-1.93,,,
IP,47.16,48.65,04/19/22,1.95,-2.84,-2.73,,,
WRK,48.58,51.32,04/19/22,2.49,-4.79,0.41,,,
LRCX,509.95,479.19,04/19/22,0.68,-3.41,1.00,,,
KOF,56.82,56.14,04/19/22,0.53,-2.51,-2.90,,,
BX,116.35,117.48,04/19/22,2.04,-7.62,-8.20,,,
BBWI,37.46,55.57,04/19/22,2.29,-4.82,-3.65,,,
ABB,30.70,31.53,04/19/22,0.89,-4.28,-5.65,,,
LKQ,52.13,49.76,04/19/22,1.73,-1.23,2.55,,,
UPS,180.76,190.69,04/19/22,0.48,-3.74,-6.43,,,
AMP,272.05,297.63,04/19/22,1.79,-10.00,-8.15,,,
MGA,66.46,63.57,04/19/22,0.58,-6.10,-2.75,,,
HCA,205.97,261.96,04/19/22,4.96,-19.42,-17.48,,,
PFG,71.60,75.17,04/19/22,1.52,-5.77,-6.53,,,
ERIC,8.23,8.54,04/19/22,2.58,-2.22,-3.98,,,
FDX,218.80,208.81,04/19/22,1.95,-3.96,-5.25,,,
BAC,35.54,39.57,04/19/22,1.29,-7.00,-5.18,,,
HIG,71.97,73.47,04/19/22,1.10,-3.65,-2.94,,,
CAT,230.12,235.69,04/20/22,0.36,-9.22,-8.44,,,
AXP,165.40,189.02,04/20/22,-0.54,-6.03,-8.79,,,
KLAC,357.85,345.99,04/20/22,-0.87,-9.02,-4.75,,,
IP,47.16,49.60,04/20/22,0.42,-4.52,-4.11,,,
WRK,48.58,52.60,04/20/22,-0.72,-6.22,-1.39,,,
LRCX,509.95,482.46,04/20/22,-0.82,-5.32,-0.12,,,
KOF,56.82,56.44,04/20/22,1.56,-3.74,-1.42,,,
BX,116.35,119.88,04/20/22,-4.78,-10.35,-10.74,,,
BBWI,37.46,56.84,04/20/22,-1.06,-7.13,-9.90,,,
ABB,30.70,31.81,04/20/22,2.99,-6.76,-6.82,,,
LKQ,52.13,50.62,04/20/22,-0.22,-2.25,-0.04,,,
UPS,180.76,191.60,04/20/22,-1.24,-2.71,-6.22,,,
AMP,272.05,302.95,04/20/22,-1.53,-12.13,-9.88,,,
MGA,66.46,63.94,04/20/22,1.91,-4.58,-4.75,,,
HCA,205.97,274.95,04/20/22,0.95,-22.81,-19.17,,,
PFG,71.60,76.31,04/20/22,0.01,-8.37,-6.75,,,
ERIC,8.23,8.76,04/20/22,-2.05,-6.62,-6.51,,,
FDX,218.80,212.88,04/20/22,-2.90,-6.40,-5.23,,,
BAC,35.54,40.08,04/20/22,-1.30,-9.56,-6.64,,,
HIG,71.97,74.28,04/20/22,0.48,-5.78,-3.73,,,
CAT,230.12,236.55,04/21/22,-8.56,-10.19,-8.72,,,
AXP,165.40,187.99,04/21/22,-3.96,-3.20,-9.03,,,
KLAC,357.85,342.97,04/21/22,-5.45,-2.98,-2.79,,,
IP,47.16,49.81,04/21/22,-4.20,-4.68,-3.41,,,
WRK,48.58,52.22,04/21/22,-3.45,-4.29,3.77,,,
KOF,56.82,57.32,04/21/22,-1.76,-3.84,-4.06,,,
LRCX,509.95,478.48,04/21/22,-3.21,1.26,0.59,,,
BX,116.35,114.15,04/21/22,-3.12,-5.13,-8.05,,,
BBWI,37.46,56.24,04/21/22,-5.03,-3.34,-3.88,,,
LKQ,52.13,50.51,04/21/22,-2.26,1.21,0.57,,,
ABB,30.70,32.76,04/21/22,-4.24,-7.72,-9.77,,,
AMP,272.05,298.30,04/21/22,-6.11,-8.51,-9.25,,,
MGA,66.46,65.16,04/21/22,-5.68,-4.17,-8.01,,,
UPS,180.76,189.22,04/21/22,-1.09,0.50,-4.98,,,
HCA,205.97,277.55,04/21/22,-24.11,-21.12,-19.23,,,
ERIC,8.23,8.58,04/21/22,-0.58,-5.71,-6.99,,,
PFG,71.60,76.32,04/21/22,-5.21,-7.44,-6.30,,,
FDX,218.80,206.70,04/21/22,-0.72,0.07,0.26,,,
HIG,71.97,74.64,04/21/22,-4.19,-4.52,-3.52,,,
BAC,35.54,39.56,04/21/22,-5.06,-6.95,-5.11,,,
CAT,230.12,222.82,04/22/22,-4.91,-5.51,-4.22,,,
AXP,165.40,183.86,04/22/22,-0.98,-4.98,-8.96,,,
IP,47.16,48.32,04/22/22,-3.27,-4.22,-1.47,,,
KLAC,357.85,330.16,04/22/22,-0.87,-3.30,0.08,,,
WRK,48.58,51.33,04/22/22,-5.18,-3.51,3.02,,,
KOF,56.82,56.56,04/22/22,-1.64,-3.47,-3.71,,,
LRCX,509.95,463.74,04/22/22,1.76,0.44,2.91,,,
ABB,30.70,31.56,04/22/22,-3.20,-5.35,-8.27,,,
BX,116.35,112.30,04/22/22,-2.35,-9.55,-10.19,,,
BBWI,37.46,53.62,04/22/22,-0.11,-1.36,-1.68,,,
LKQ,52.13,49.74,04/22/22,-1.21,-0.22,1.25,,,
UPS,180.76,189.15,04/22/22,-1.96,-4.85,-5.45,,,
MGA,66.46,61.48,04/22/22,-0.07,-1.97,-3.42,,,
HCA,205.97,220.07,04/22/22,-3.75,-2.51,2.67,,,
AMP,272.05,285.36,04/22/22,-3.65,-6.96,-6.80,,,
PFG,71.60,73.45,04/22/22,-4.87,-7.23,-5.05,,,
ERIC,8.23,8.49,04/22/22,-1.30,-6.24,-9.07,,,
FDX,218.80,205.74,04/22/22,-1.92,-3.40,1.31,,,
HIG,71.97,72.23,04/22/22,-3.23,-3.18,-0.75,,,
CB,209.69,207.95,04/22/22,-2.14,-0.72,0.01,,,
CAT,230.12,216.30,04/23/22,-2.05,-2.66,-1.33,,,
AXP,165.40,180.54,04/23/22,0.84,-3.23,-7.29,,,
IP,47.16,47.72,04/23/22,-2.05,-3.02,-0.23,,,
KLAC,357.85,324.28,04/23/22,0.93,-1.55,1.90,,,
AMAT,111.36,112.80,04/23/22,0.20,-2.17,-0.56,,,
WRK,48.58,50.42,04/23/22,-3.47,-1.77,4.88,,,
KOF,56.82,56.31,04/23/22,-1.21,-3.04,-3.29,,,
LRCX,509.95,463.13,04/23/22,1.89,0.57,3.05,,,
ABB,30.70,31.37,04/23/22,-2.61,-4.78,-7.71,,,
BX,116.35,110.59,04/23/22,-0.84,-8.16,-8.80,,,
LKQ,52.13,49.37,04/23/22,-0.47,0.53,2.01,,,
BBWI,37.46,53.41,04/23/22,0.28,-0.97,-1.29,,,
UPS,180.76,187.15,04/23/22,-0.91,-3.83,-4.43,,,
MGA,66.46,61.46,04/23/22,-0.03,-1.94,-3.38,,,
AMP,272.05,280.08,04/23/22,-1.84,-5.21,-5.04,,,
ERIC,8.23,8.53,04/23/22,-1.76,-6.68,-9.50,,,
PFG,71.60,72.34,04/23/22,-3.41,-5.81,-3.59,,,
FDX,218.80,205.21,04/23/22,-1.66,-3.15,1.57,,,
HIG,71.97,71.51,04/23/22,-2.25,-2.21,0.25,,,
CB,209.69,206.10,04/23/22,-1.26,0.17,0.91,,,
CAT,230.12,211.87,04/25/22,0.52,-0.27,-2.63,,,
AXP,165.40,182.05,04/25/22,-0.55,-6.81,-11.55,,,
IP,47.16,46.74,04/25/22,1.13,-1.63,2.29,,,
KLAC,357.85,327.29,04/25/22,-2.63,-1.92,-2.57,,,
AMAT,111.36,113.03,04/25/22,-2.26,-1.63,-6.44,,,
WRK,48.58,48.67,04/25/22,0.39,1.99,5.42,,,
KOF,56.82,55.63,04/25/22,-1.62,-4.62,-2.98,,,
BX,116.35,109.66,04/25/22,-1.03,-4.67,-11.85,,,
LKQ,52.13,49.14,04/25/22,0.02,1.24,1.87,,,
ABB,30.70,30.55,04/25/22,-1.21,-3.67,-8.48,,,
BBWI,37.46,53.56,04/25/22,-1.25,-0.77,-6.01,,,
UPS,180.76,185.45,04/25/22,-1.02,-3.69,-2.17,,,
MGA,66.46,61.44,04/25/22,-2.85,-3.06,-6.23,,,
AMP,272.05,274.94,04/25/22,-2.57,-2.92,-5.56,,,
PFG,71.60,69.87,04/25/22,1.37,-2.82,-1.26,,,
FDX,218.80,201.80,04/25/22,-0.62,-2.11,3.21,,,
UHS,120.26,139.72,04/25/22,-10.11,-13.63,-10.30,,,
HIG,71.97,69.90,04/25/22,1.27,0.01,1.29,,,
BAC,35.54,36.64,04/25/22,0.44,-1.72,-0.74,,,
CB,209.69,203.51,04/25/22,1.60,0.70,0.79,,,
AXP,165.40,181.04,04/26/22,-1.88,-4.44,-12.04,-6.82,,
CAT,230.12,212.97,04/26/22,0.46,0.58,-4.54,6.63,,
KLAC,357.85,318.69,04/26/22,-1.23,3.95,0.07,15.23,,
IP,47.16,47.27,04/26/22,0.19,0.11,0.23,1.40,,
WRK,48.58,48.86,04/26/22,0.96,5.46,3.25,1.41,,
BX,116.35,108.53,04/26/22,-0.98,-0.63,-10.26,10.41,,
KOF,56.82,54.73,04/26/22,-0.73,-0.40,-1.99,5.77,,
LKQ,52.13,49.15,04/26/22,0.67,3.83,-0.20,7.67,,
BBWI,37.46,52.89,04/26/22,-0.19,1.23,-8.38,-28.78,,
ABB,30.70,30.18,04/26/22,-1.72,-1.42,-6.33,4.71,,
UPS,180.76,183.55,04/26/22,1.55,-2.79,-1.32,1.07,,
MGA,66.46,59.69,04/26/22,2.21,3.57,-4.74,11.19,,
AMP,272.05,267.88,04/26/22,-0.62,2.05,-4.27,3.43,,
RY,105.19,102.03,04/26/22,-0.87,0.38,-4.75,4.15,,
PFG,71.60,70.83,04/26/22,-1.28,-0.80,-3.98,1.93,,
FDX,218.80,200.54,04/26/22,-0.64,-1.35,2.05,10.39,,
CB,209.69,206.77,04/26/22,1.86,1.26,-1.44,3.31,,
HIG,71.97,70.79,04/26/22,-1.13,0.73,-1.37,3.73,,
BAC,35.54,36.80,04/26/22,-1.49,1.96,-3.37,-1.22,,
STX,82.81,79.98,04/26/22,2.09,4.19,0.28,5.64,,
AXP,165.40,177.15,04/27/22,2.73,-2.68,-8.31,-6.63,,
CAT,230.12,213.80,04/27/22,-0.64,0.93,-3.06,7.63,,
IP,47.16,47.70,04/27/22,-0.46,-0.29,1.57,-1.13,,
KLAC,357.85,316.82,04/27/22,5.03,4.02,0.96,12.95,,
AMAT,111.36,109.72,04/27/22,4.48,3.32,-2.70,1.49,,
WRK,48.58,49.65,04/27/22,0.66,4.47,4.07,-2.16,,
BX,116.35,108.41,04/27/22,-0.11,-1.30,-8.41,7.32,,
KOF,56.82,54.37,04/27/22,1.38,2.34,-0.22,4.51,,
LKQ,52.13,49.84,04/27/22,2.57,1.52,-0.22,4.59,,
BBWI,37.46,53.07,04/27/22,2.43,-3.50,-7.69,-29.41,,
ABB,30.70,29.82,04/27/22,1.37,-0.60,-4.16,2.95,,
UPS,180.76,185.28,04/27/22,2.63,-3.02,-2.75,-2.44,,
MGA,66.46,61.25,04/27/22,1.94,-0.57,-4.85,8.51,,
AMP,272.05,268.15,04/27/22,1.78,1.81,-2.19,1.45,,
RY,105.19,101.16,04/27/22,1.55,0.90,-3.02,3.98,,
PFG,71.60,70.34,04/27/22,0.43,1.17,-1.12,1.79,,
FDX,218.80,199.26,04/27/22,3.81,1.25,5.22,9.81,,
UHS,120.26,124.81,04/27/22,-0.52,1.46,1.27,-3.65,,
CB,209.69,212.02,04/27/22,-0.40,-1.00,-2.20,-1.10,,
HIG,71.97,70.36,04/27/22,1.29,1.63,0.84,2.29,,
CAT,230.12,203.88,04/28/22,3.27,5.91,-0.42,,,
AXP,165.40,179.10,04/28/22,-2.45,-4.52,-14.42,,,
IP,47.16,46.79,04/28/22,-1.09,2.82,1.69,,,
KLAC,357.85,323.15,04/28/22,-1.20,3.17,-2.34,,,
WRK,48.58,49.28,04/28/22,0.51,9.96,-3.69,,,
AMAT,111.36,111.39,04/28/22,-0.93,1.87,-4.16,,,
BX,116.35,106.00,04/28/22,-4.18,-0.98,-6.21,,,
KOF,56.82,54.65,04/28/22,-0.09,0.62,0.05,,,
LKQ,52.13,50.51,04/28/22,-1.74,0.57,-0.77,,,
BBWI,37.46,53.43,04/28/22,-1.01,1.18,-9.15,,,
UPS,180.76,189.14,04/28/22,-4.84,-4.94,-5.55,,,
ABB,30.70,29.92,04/28/22,-0.17,-1.20,-5.92,,,
MGA,66.46,61.23,04/28/22,-1.57,-2.11,-7.32,,,
AMP,272.05,267.55,04/28/22,-0.77,1.18,-6.20,,,
RY,105.19,102.58,04/28/22,-1.51,-0.82,-6.28,,,
PFG,71.60,69.62,04/28/22,-2.13,2.71,-2.87,,,
FDX,218.80,204.14,04/28/22,-2.65,1.52,1.99,,,
CB,209.69,209.42,04/28/22,-1.42,-0.68,-1.90,,,
HIG,71.97,70.27,04/28/22,-0.48,2.48,-1.67,,,
UHS,120.26,122.01,04/28/22,0.43,3.51,1.21,,,
BAC,35.54,36.81,04/28/22,-3.07,1.98,-4.73,,,
AXP,165.40,179.10,04/29/22,-5.05,-6.54,-10.84,,,
CAT,230.12,214.82,04/29/22,-1.42,-0.65,-4.35,,,
KLAC,357.85,329.21,04/29/22,-2.13,0.37,2.00,,,
IP,47.16,46.93,04/29/22,-1.88,1.45,2.39,,,
WRK,48.58,49.89,04/29/22,-0.42,5.99,-4.05,,,
KOF,56.82,54.19,04/29/22,-2.09,0.50,2.10,,,
BX,116.35,106.47,04/29/22,-1.45,-5.27,1.24,,,
LKQ,52.13,50.53,04/29/22,-1.31,-0.34,0.69,,,
BBWI,37.46,53.69,04/29/22,-0.71,-1.81,-5.03,,,
UPS,180.76,182.66,04/29/22,-1.96,-2.09,-2.32,,,
ABB,30.70,30.28,04/29/22,-2.58,-4.39,-4.59,,,
MGA,66.46,61.56,04/29/22,-2.92,-3.54,-2.68,,,
AMP,272.05,271.85,04/29/22,-1.54,-2.17,-3.61,,,
RY,105.19,102.34,04/29/22,-2.20,-2.10,-3.98,,,
FDX,218.80,201.47,04/29/22,-1.66,3.46,6.41,,,
PFG,71.60,70.03,04/29/22,-2.74,-0.41,0.59,,,
CB,209.69,210.36,04/29/22,-2.31,-1.14,-1.50,,,
HIG,71.97,71.46,04/29/22,-1.92,0.32,-2.02,,,
UHS,120.26,123.90,04/29/22,-2.49,3.19,0.59,,,
BAC,35.54,36.43,04/29/22,-1.07,1.45,-2.88,,,
CAT,230.12,210.54,05/01/22,0.58,1.37,-2.41,,,
KLAC,357.85,319.26,05/01/22,0.92,3.50,5.18,,,
AMAT,111.36,110.35,05/01/22,1.06,1.65,1.89,,,
WRK,48.58,49.53,05/01/22,0.30,6.76,-3.35,,,
QCOM,138.64,139.69,05/01/22,1.67,1.02,-2.82,,,
BX,116.35,101.57,05/01/22,3.31,-0.70,6.12,,,
LKQ,52.13,49.63,05/01/22,0.48,1.47,2.52,,,
CMCSA,42.95,39.76,05/01/22,0.50,-0.38,4.10,,,
BBWI,37.46,52.89,05/01/22,0.79,-0.32,-3.59,,,
ABB,30.70,29.87,05/01/22,-1.24,-3.08,-3.28,,,
MGA,66.46,60.27,05/01/22,-0.85,-1.48,-0.60,,,
CB,209.69,206.45,05/01/22,-0.46,0.74,0.36,,,
FDX,218.80,198.74,05/01/22,-0.31,4.88,7.87,,,
PFG,71.60,68.14,05/01/22,-0.04,2.35,3.38,,,
HIG,71.97,69.93,05/01/22,0.23,2.52,0.13,,,
AMP,272.05,265.49,05/01/22,0.81,0.17,-1.30,,,
BAC,35.54,35.68,05/01/22,1.01,3.59,-0.84,,,
STX,82.81,82.04,05/01/22,-0.49,0.50,-1.73,,,
OVV,62.16,51.19,05/01/22,0.12,7.09,-12.70,,,
STT,68.58,66.97,05/01/22,2.22,3.63,4.17,,,
CAT,230.12,211.30,05/02/22,1.37,-2.37,-2.60,,,
KLAC,357.85,320.99,05/02/22,3.21,-0.66,4.31,,,
AMAT,111.36,111.19,05/02/22,2.47,-4.89,0.40,,,
WRK,48.58,49.64,05/02/22,3.81,3.36,-7.61,,,
QCOM,138.64,141.50,05/02/22,2.03,-4.65,-5.10,,,
BX,116.35,104.54,05/02/22,3.17,-7.54,1.04,,,
LKQ,52.13,49.75,05/02/22,2.57,0.62,2.27,,,
CMCSA,42.95,39.85,05/02/22,1.03,-0.23,4.44,,,
BBWI,37.46,53.15,05/02/22,0.73,-5.29,-8.45,,,
ABB,30.70,29.43,05/02/22,1.09,-4.99,-3.57,,,
MGA,66.46,59.56,05/02/22,3.79,-3.27,0.49,,,
CB,209.69,204.93,05/02/22,2.17,0.09,1.60,,,
FDX,218.80,197.55,05/02/22,0.15,5.43,6.58,,,
PFG,71.60,67.90,05/02/22,3.48,1.61,3.30,,,
HIG,71.97,69.91,05/02/22,2.00,1.27,-0.67,,,
AMP,272.05,266.92,05/02/22,2.41,-2.73,-2.40,,,
