Ticker,CurrentPrice,PriceWhenAdded,DateAdded,DayPercent,FiveDayPercent,TenDayPercent,MonthPercent,ThreeMonthPercent,YearPercent
HTZ,18.75,23.28,04/26/22,1.07,-16.15,-27.06,,,
X,24.59,32.56,04/27/22,-1.01,-11.06,-21.47,,,
CENX,11.91,19.60,04/27/22,-1.38,-23.88,-33.47,,,
NOG,27.20,26.42,05/04/22,3.29,2.61,2.95,,,
ERF,12.62,12.98,05/04/22,0.46,-4.24,-2.77,,,
VET,19.69,18.06,05/10/22,6.48,14.78,,,,
METC,14.51,13.83,05/10/22,8.75,8.82,,,,
CPA,70.25,68.78,05/10/22,-2.84,3.37,,,,
DIS,105.32,106.90,05/10/22,0.63,0.22,,,,
VCSA,4.29,5.70,05/10/22,-3.33,-22.63,,,,
SONO,20.12,20.02,05/10/22,-0.25,8.79,,,,
ASND,86.15,81.58,05/10/22,0.77,8.21,,,,
BMBL,26.76,18.34,05/10/22,3.87,45.97,,,,
ACVA,7.70,8.73,05/10/22,-0.80,-5.50,,,,
ENVX,9.34,8.10,05/10/22,-2.10,11.48,,,,
APP,36.85,28.40,05/10/22,4.05,32.78,,,,
CPNG,13.20,10.08,05/10/22,-4.66,27.58,,,,
FLNC,8.43,8.02,05/10/22,-5.74,4.61,,,,
RIVN,27.35,21.27,05/10/22,0.33,26.09,,,,
SES,6.75,4.72,05/11/22,11.65,43.01,,,,
SQM,90.63,89.68,05/17/22,1.06,,,,,
SNPS,275.45,279.09,05/17/22,-1.30,,,,,
CPRT,108.15,112.39,05/17/22,-3.77,,,,,
GDS,28.42,29.31,05/17/22,-3.04,,,,,
ROST,94.66,94.66,05/18/22,,,,,,
