ScreenerName,StocksPerDay,DayPercent,FiveDayPercent,TenDayPercent,MonthPercent,ThreeMonthPercent,YearPercent
Oversold reversal,6,0.7789411764705882352941176471,-1.8552380952380952380952380952,-6.2973684210526315789473684211,,,
Weekly Earnings gap up,4,0.486,-17.03,-27.06,,,
Short squeeze Smaller Set,5,-0.512,-0.8127272727272727272727272727,,,,
SMA crossover,10,-0.5539325842696629213483146067,-1.9391666666666666666666666667,-5.0893902439024390243902439024,,,
Bounce at moving average,12,-0.7954090909090909090909090909,-4.6084931506849315068493150685,-0.541372549019607843137254902,,,
Undervalued dividend growth,20,-0.8078654970760233918128654971,-2.3345977011494252873563218391,-3.9647857142857142857142857143,,,
High Sales growth,20,-1.0347352941176470588235294118,-2.2146153846153846153846153846,-3.9259285714285714285714285714,,,
Low PE value,20,-1.0675730994152046783625730994,-2.1988505747126436781609195402,-3.3254285714285714285714285714,,,
CANSLIM,20,-1.0924929178470254957507082153,-2.8070740740740740740740740741,-5.4126428571428571428571428571,,,
Oversold with upcoming earnings,18,-1.1306687898089171974522292994,-3.4914977973568281938325991189,-5.4608421052631578947368421053,,,
Buy and Hold value,6,-1.2116071428571428571428571429,-2.236375,-3.3892857142857142857142857143,,,
Breaking out,8,-1.2649193548387096774193548387,-4.6863541666666666666666666667,-6.2001538461538461538461538462,,,
Short squeeze,20,-1.2884164222873900293255131965,-4.7189230769230769230769230769,-9.667214285714285714285714286,,,
Huge Drop,10,-1.2890116279069767441860465116,-1.30375,-2.3513114754098360655737704918,,,
Potential uptrend from weekly lows,21,-1.3552054794520547945205479452,-3.3492363636363636363636363636,-7.0380714285714285714285714286,,,
High relative volume,5,-1.5175280898876404494382022472,-2.9814285714285714285714285714,-7.15,,,
High Earnings growth,16,-1.5241355932203389830508474576,-4.3355686274509803921568627451,-7.1816428571428571428571428571,,,
Specific Testing Screener,3,-1.5625490196078431372549019608,-7.6487179487179487179487179487,-6.5619047619047619047619047619,,,
Big Drop-low PE-Optionable,7,-1.774226804123711340206185567,-0.3226470588235294117647058824,-2.2189473684210526315789473684,,,
New highs,1,-1.9175,1.1683333333333333333333333333,16.733333333333333333333333333,,,
Bankruptcy squeeze candidates,2,-2.2594594594594594594594594595,-9.885769230769230769230769231,-9.106428571428571428571428571,,,
Consistent growth on a bullish trend,2,-2.955,-7.108,-8.287,,,
Shorted stocks,12,-3.1368246445497630331753554502,-6.0274242424242424242424242424,-11.713529411764705882352941176,,,
